"model","district","node_type","type","best_guess_type","from_iwr","from_ddm","from_wem","id","name_description","data_type","time_step","sequence_id","units","start","end","input_type","input_name"
"South Platte","20","_DIV","Carrier",NA,NA,0,NA,"2003","FordRechargeDivn","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","37","_DIV","Carrier",NA,NA,0,NA,"3700","EastGravelLakesDivn","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","64","_DIV","Irrigation",NA,1954,371,NA,"6400542","MCWILLIAMS CANAL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_DIV","Irrigation",NA,NA,0,NA,"0100501","Empire Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"Colorado","42","_DIV","Irrigation",NA,1078,13640.29,NA,"4200541_I","Redlands Power Canal Irr","Total_Demand","Month",NA,"ACFT","1949-10","2013-09","StateModB","D:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\cm2015\cm2015B.b43"
"Gunnison","41","_DIV","Irrigation",NA,1054,106694,NA,"4100534_D","UNCO_IRONSTONE CANAL","Total_Demand","Month",NA,"ACFT","1949-10","2013-09","StateModB","D:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\gm2015\gm2015B.b43"
"South Platte","01","_DIV","Carrier",NA,NA,0,NA,"0100513","Jackson Lake Inlet","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"Gunnison","62","_DIV","Irrigation",NA,1200,22366,NA,"6200560_I","Cimmaron_Canal","Total_Demand","Month",NA,"ACFT","1949-10","2013-09","StateModB","D:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\gm2015\gm2015B.b43"
"South Platte","08","_FLO","Gage",NA,1857,7385,0,"0801004","HIGHLINE CNL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1891,172,NA,"2300760","SACRAMENTO DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1892,455,NA,"2300902","PETRIE DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1893,236,NA,"2300904","LINK DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1894,282,NA,"2300922","HOLST DITCH 2","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,NA,0,1300,"0100524","TROWELL DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1895,325,NA,"2300923","HOLST PACKER D","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1896,297,NA,"2300924","HOLST DITCH 1","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","23","_FLO","Gage",NA,1897,143,NA,"2300926","PACKER BONIS DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1652,72743,8361,"0100503_I","Riverside Irrigation","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1653,74256,1344,"0100507_I","Bijou Irrigation","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_DIV","Irrigation",NA,NA,0,NA,"0100687","N Sterling Div System","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1654,35470,0,"0100511","WELDON VALLEY DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1655,31705,0,"0100514","Ft Morgan Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_WEL","Municipal",NA,NA,NA,4828,"0100711","PSCO PAWNEE WELL FIE_WEL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_DIV","Carrier",NA,NA,0,NA,"0100829","Prewitt Res Inlet","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0102456","FT MORGAN CITY AUG  _","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Industrial",NA,NA,NA,NA,"0102513","WIGGINS FARMS 09CW00_","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0102518","PIONEER AUG PLAN    _","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0102522","RIVERSIDE AUG       _","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0102528","FT MORGAN CNL AUG PL_","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Industrial",NA,NA,NA,NA,"0102529","UPPER PLATTE & BEAVE_","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Industrial",NA,NA,NA,NA,"0102535","LOWER PLATTE BEAVER _","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0102662","BRUSH AUG           _","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_PLN","Plan",NA,NA,NA,NA,"0103336","POUDRE_PLAN_AUG     _PLN","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0103339","BIJOU AUG PLAN      _","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_","Plan",NA,NA,NA,NA,"0103397","LOWER POUDRE AUGMENT_","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_RES","Reservoir",NA,NA,NA,NA,"0103570","BIJOU RES 2         _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_RES","Reservoir",NA,NA,NA,NA,"0103592","HORSE CREEK RES     _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_RES","Reservoir",NA,NA,NA,NA,"0103651","RIVERSIDE RES       _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_RES","Reservoir",NA,NA,NA,NA,"0103816","EMPIRE RES          _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_RES","Reservoir",NA,NA,NA,NA,"0103817","JACKSON LAKE RES    _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200800","Farmers Gardeners Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Carrier",NA,NA,0,NA,"0200802","Burlington Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Carrier",NA,NA,0,NA,"0200805","Denver Hudson Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200806","Gardeners Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200808","Fulton Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200810","Brighton Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200812","Lupton Bottom Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200813","Platteville Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200817","Evans No 2 Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200824","Farmers Indep Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200825","Hewes Cook Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200828","Union Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200834","Lower Latham Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Irrigation",NA,NA,0,NA,"0200837","Highland Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1656,29729,178,"0100515","UPPER PLATTE BEAVER CNL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Carrier",NA,NA,0,NA,"0200992","Westminster Standley PL2","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Carrier",NA,NA,0,NA,"0200993","Northglenn Standley PL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_DIV","Carrier",NA,NA,0,NA,"0200994","Thornton Standley PL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_RES","Reservoir",NA,NA,NA,NA,"0203351","BULL CANAL RES NO 8 _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1657,4569,0,"0100517","DEUEL SNYDER CANAL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","01","_D&W","Irrigation",NA,1658,9062,20424,"0100518","LOWER PLATTE BEAVER D","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_RES","Reservoir",NA,NA,NA,NA,"0203379","AURORA RES          _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_RES","Reservoir",NA,NA,NA,NA,"0203699","WEST GRAVEL LAKES CO_RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_RES","Reservoir",NA,NA,NA,NA,"0203700","TANI LAKES COMBINED _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_FLO","Gage",NA,NA,NA,NA,"0203837","BARR LAKE           _FLO","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_RES","Reservoir",NA,NA,NA,NA,"0203858","LOWER LATHAM RES    _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_RES","Reservoir",NA,NA,NA,NA,"0203876","MILTON RES          _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","02","_FLO","Gage",NA,NA,NA,NA,"0203903","STANDLEY RES        _FLO","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400501","Barnes Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Carrier",NA,NA,0,NA,"0400511","Loveland Pipeline","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_FLO","Irrigation",NA,NA,0,NA,"0400520","George Rist Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400521","Handy Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400524","Home Supply Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400530","Louden Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400532","Loveland Greeley Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Carrier",NA,NA,0,NA,"0400540","DILLE TUNNEL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400543","South Side Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400587","BEELINE DITCH","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Irrigation",NA,NA,0,NA,"0400588","Boulder Larimer Ditch","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Carrier",NA,NA,0,NA,"0400691","Hansen Feeder Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Carrier",NA,NA,0,NA,"0400692","St. Vrain Supply Canal","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Plan",NA,NA,0,NA,"0400702","Greeley Boyd Filter Plan","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Carrier",NA,NA,0,NA,"0401000","Olympus Tunnel","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Plan",NA,NA,0,NA,"0401001","Big T Power Plant","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_DIV","Carrier",NA,NA,0,NA,"0401002","Hansen Feeder Wastewat","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_ISF","Instream Flow",NA,NA,NA,NA,"0402110","BIG T OLYMPUS/DRAKE M FL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_ISF","Instream Flow",NA,NA,NA,NA,"0402112","LOVELAND PWR-DILLE M FL","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_RES","Reservoir",NA,NA,NA,NA,"0403659","LOVELAND MUNICIPAL R_RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_RES","Reservoir",NA,NA,NA,NA,"0404128","LAKE ESTES          _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
"South Platte","04","_RES","Reservoir",NA,NA,NA,NA,"0404156","BOULDER LARIMER RES _RES","Total_Demand","Month",NA,"ACFT","1970-01","2012-12","StateModB","D:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b43"
