"district","date","variable","value"
"42",1980-02-01,"eddi3",-0.262601754882119
"43",1980-02-01,"eddi3",-0.55042186845094
"44",1980-02-01,"eddi3",-1.02899577021599
"45",1980-02-01,"eddi3",-0.0687652826309204
"47",1980-02-01,"eddi3",-0.591970922618077
"48",1980-02-01,"eddi3",-0.774363470077515
"49",1980-02-01,"eddi3",-1.01618429459631
"5",1980-02-01,"eddi3",-1.18048818409443
"50",1980-02-01,"eddi3",-0.552983303864797
"51",1980-02-01,"eddi3",-0.576359474658966
"52",1980-02-01,"eddi3",-0.205012824800279
"53",1980-02-01,"eddi3",-0.46368122952325
"54",1980-02-01,"eddi3",-0.799843336145083
"55",1980-02-01,"eddi3",-1.04348888993263
"56",1980-02-01,"eddi3",-0.829310136181968
"57",1980-02-01,"eddi3",-0.735049821436405
"58",1980-02-01,"eddi3",-0.648918160796165
"59",1980-02-01,"eddi3",-0.509270599910191
"6",1980-02-01,"eddi3",-1.26861757040024
"60",1980-02-01,"eddi3",-1.06586388349533
"61",1980-02-01,"eddi3",-1.13337469100952
"62",1980-02-01,"eddi3",-0.57072468996048
"63",1980-02-01,"eddi3",-0.724267184734344
"64",1980-02-01,"eddi3",-1.44871220296743
"65",1980-02-01,"eddi3",-1.12505313844392
"66",1980-02-01,"eddi3",-0.69926105108526
"67",1980-02-01,"eddi3",-0.753767773509026
"68",1980-02-01,"eddi3",-0.853656557473269
"69",1980-02-01,"eddi3",-1.13337469100952
"7",1980-02-01,"eddi3",-0.922523403167725
"70",1980-02-01,"eddi3",-0.113233549254281
"71",1980-02-01,"eddi3",-0.939089689565741
"72",1980-02-01,"eddi3",-0.0361682441499498
"73",1980-02-01,"eddi3",-0.290936628977458
"76",1980-02-01,"eddi3",-0.90163654088974
"77",1980-02-01,"eddi3",-0.725199550390244
"78",1980-02-01,"eddi3",-0.783313785990079
"79",1980-02-01,"eddi3",-0.471708526213964
"8",1980-02-01,"eddi3",-1.18478232373794
"80",1980-02-01,"eddi3",-0.810953606258739
"9",1980-02-01,"eddi3",-1.04263769388199
"1",1980-03-01,"eddi3",-1.11777711641498
"10",1980-03-01,"eddi3",-0.296987421372358
"11",1980-03-01,"eddi3",0.580267350673676
"12",1980-03-01,"eddi3",0.716639552360926
"13",1980-03-01,"eddi3",0.711296876271566
"14",1980-03-01,"eddi3",-0.155618631321451
"15",1980-03-01,"eddi3",0.0142795443534851
"16",1980-03-01,"eddi3",0.19942698876063
"17",1980-03-01,"eddi3",-0.380599525570869
"18",1980-03-01,"eddi3",-0.00573679379054478
"19",1980-03-01,"eddi3",-0.263279384496261
"2",1980-03-01,"eddi3",-1.34983541965485
"20",1980-03-01,"eddi3",0.59880064542477
"21",1980-03-01,"eddi3",0.978929549455643
"22",1980-03-01,"eddi3",0.852559660871824
"23",1980-03-01,"eddi3",0.368641078472137
"24",1980-03-01,"eddi3",0.703154837091764
"25",1980-03-01,"eddi3",0.968421510287694
"26",1980-03-01,"eddi3",0.550253558158875
"27",1980-03-01,"eddi3",0.93413084000349
"28",1980-03-01,"eddi3",-0.114898529317644
"29",1980-03-01,"eddi3",-0.139265724590846
"3",1980-03-01,"eddi3",-0.928150214932182
"30",1980-03-01,"eddi3",-0.536506207365739
"31",1980-03-01,"eddi3",-0.712690308690071
"32",1980-03-01,"eddi3",-1.15395642895448
"33",1980-03-01,"eddi3",-1.68340088639941
"34",1980-03-01,"eddi3",-1.37992337942123
"35",1980-03-01,"eddi3",0.850928201394923
"36",1980-03-01,"eddi3",0.29266032576561
"37",1980-03-01,"eddi3",0.0510653537862441
"38",1980-03-01,"eddi3",0.0317445397377014
"39",1980-03-01,"eddi3",0.426045770828541
"4",1980-03-01,"eddi3",-0.448215516408284
"40",1980-03-01,"eddi3",0.283361353525301
"41",1980-03-01,"eddi3",0.494375169277191
"42",1980-03-01,"eddi3",0.560824567621404
"43",1980-03-01,"eddi3",0.0541647989302874
"44",1980-03-01,"eddi3",-1.02432606816292
"45",1980-03-01,"eddi3",0.342204034328461
"47",1980-03-01,"eddi3",-0.221937191897425
"48",1980-03-01,"eddi3",-0.104352188110352
"49",1980-03-01,"eddi3",-0.774743814021349
"5",1980-03-01,"eddi3",-0.796488754451275
"50",1980-03-01,"eddi3",-0.288729177580939
"51",1980-03-01,"eddi3",0.521250334382057
"52",1980-03-01,"eddi3",0.136347956127591
"53",1980-03-01,"eddi3",-0.162072156156812
"54",1980-03-01,"eddi3",-0.518861477573713
"55",1980-03-01,"eddi3",-1.15830998122692
"56",1980-03-01,"eddi3",-0.503533022744315
"57",1980-03-01,"eddi3",-0.434353582561016
"58",1980-03-01,"eddi3",-0.349748718738556
"59",1980-03-01,"eddi3",-0.0762695783660525
"6",1980-03-01,"eddi3",-0.822257697582245
"60",1980-03-01,"eddi3",-0.175669000148773
"61",1980-03-01,"eddi3",-0.408398866653442
"62",1980-03-01,"eddi3",0.13772301197052
"63",1980-03-01,"eddi3",0.280625144640605
"64",1980-03-01,"eddi3",-1.52539989048121
"65",1980-03-01,"eddi3",-0.959021434037372
"66",1980-03-01,"eddi3",-0.45555810464753
"67",1980-03-01,"eddi3",-0.492909216397517
"68",1980-03-01,"eddi3",0.0612833283164284
"69",1980-03-01,"eddi3",-0.642241811752319
"7",1980-03-01,"eddi3",-0.146982109546661
"70",1980-03-01,"eddi3",0.69894700390952
"71",1980-03-01,"eddi3",-0.53165883862454
"72",1980-03-01,"eddi3",0.58084615237183
"73",1980-03-01,"eddi3",0.624936580657959
"76",1980-03-01,"eddi3",-0.463858842849731
"77",1980-03-01,"eddi3",-0.292802110314369
"78",1980-03-01,"eddi3",-0.796564777692159
"79",1980-03-01,"eddi3",0.385892768700918
"8",1980-03-01,"eddi3",-0.471370073656241
"80",1980-03-01,"eddi3",0.327351239594546
"9",1980-03-01,"eddi3",-0.123530185222626
"1",1980-04-01,"eddi3",-1.63362590278067
"10",1980-04-01,"eddi3",-0.728148111525704
"11",1980-04-01,"eddi3",-0.832990789413452
"12",1980-04-01,"eddi3",0.0232631289041959
"13",1980-04-01,"eddi3",0.145189841588338
"14",1980-04-01,"eddi3",-0.552844187487727
"15",1980-04-01,"eddi3",-0.286520528793335
"16",1980-04-01,"eddi3",-0.070945143699646
"17",1980-04-01,"eddi3",-0.774067208170891
"18",1980-04-01,"eddi3",-0.250889778137207
"19",1980-04-01,"eddi3",-0.510898212997281
"2",1980-04-01,"eddi3",-2.08748626708984
"20",1980-04-01,"eddi3",-0.0670254306915479
"21",1980-04-01,"eddi3",0.63975402712822
"22",1980-04-01,"eddi3",0.374620765447617
"23",1980-04-01,"eddi3",-0.66871442993482
"24",1980-04-01,"eddi3",0.856419165929159
"25",1980-04-01,"eddi3",0.343960838658469
"26",1980-04-01,"eddi3",-0.479910580317179
"27",1980-04-01,"eddi3",0.412200778722763
"28",1980-04-01,"eddi3",-1.24160277843475
"29",1980-04-01,"eddi3",-1.08515527418682
"3",1980-04-01,"eddi3",-1.78168725786787
"30",1980-04-01,"eddi3",-1.64217017826281
"31",1980-04-01,"eddi3",-1.7740541100502
"32",1980-04-01,"eddi3",-1.66607538022493
"33",1980-04-01,"eddi3",-2.08748626708984
"34",1980-04-01,"eddi3",-2.00711877346039
"35",1980-04-01,"eddi3",0.905583802391501
"36",1980-04-01,"eddi3",-0.899387573202451
"37",1980-04-01,"eddi3",-0.213605978909661
"38",1980-04-01,"eddi3",-0.67077345897754
"39",1980-04-01,"eddi3",0.0933491908586942
"4",1980-04-01,"eddi3",-1.24844293991725
"40",1980-04-01,"eddi3",-0.170932707263202
"41",1980-04-01,"eddi3",0.113524034619331
