"district","year","prcp","tavg","tmax","tmin","pdsi","aet","pet","soilm","swe","spi1","spi3","spi6","spi9","spi12","eddi1","eddi3","eddi6","eddi9","eddi12"
1,"1969",37.9610171017102,12.426,20.439,4.413,0.274838883888388,36.6779297929793,108.915724572457,0.324671467146715,107.2,0.0029132029404062,-0.0275158590876064,0.543786121326557,0.338762558533157,NA,NA,NA,NA,NA,NA
1,"1970",26.0814506450645,10.535,18.7716666666667,2.29833333333333,-0.213942394239425,24.8273327332733,101.823604860486,0.389746474647465,125.3,-0.349049590908908,-0.203428136642718,-0.108799960690246,0.0210245099659483,0.10150930045923,NA,NA,NA,NA,NA
1,"1971",26.7935268526853,10.3054166666667,18.3958333333333,2.215,-0.587055955595559,25.4860936093609,101.86803930393,0.325645064506451,77.9,-0.042918273945542,-0.146358333868407,-0.214907865973525,-0.36065599895523,-0.54822794706385,NA,NA,NA,NA,NA
1,"1972",26.2154815481548,10.87,19.03,2.71,-2.00935268526853,24.9349609960996,105.574917491749,0.290781578157816,61.7,-0.231433248477451,-0.39421744957027,-0.736120959545704,-0.945500517994869,-1.03868641797026,NA,NA,NA,NA,NA
1,"1973",35.1521902190219,9.45458333333333,17.2225,1.68666666666667,2.817199969997,33.0991149114911,94.7812556255625,5.24657215721572,383.4,0.258657999917065,0.578944766136979,0.714122055096565,0.59950509039067,0.394789480966634,NA,NA,NA,NA,NA
1,"1974",24.0213621362136,10.8104166666667,19.2358333333333,2.385,0.512817281728173,22.9649639963997,110.46900690069,2.54679717971797,172.5,-0.0788971695017882,-0.138224615458144,-0.213642675785216,-0.0949601605379842,0.113676822283181,NA,NA,NA,NA,NA
1,"1975",26.6763276327633,9.96875,18.4291666666667,1.50833333333333,-1.51098784878488,25.416396639664,99.6407215721573,1.48430093009301,102.8,-0.256638996024365,-0.408271045867491,-0.548331634429745,-0.959166167877315,-1.26862933799944,NA,NA,NA,NA,NA
1,"1976",25.3109660966097,10.7504166666667,19.2433333333333,2.2575,-2.35793804380438,24.1091284128413,110.493099309931,1.01810681068107,171.5,-0.157121134482903,-0.549283792242996,-0.97492330572219,-0.983422269452708,-0.987163208536997,NA,NA,NA,NA,NA
1,"1977",24.3361611161116,11.3220833333333,19.9808333333333,2.66333333333333,-3.04835283528353,23.1541329132913,111.205085508551,0.763343834383439,46.2,-0.626201988553967,-0.763711275608277,-0.670471410056639,-0.829234074751647,-1.08965935478393,NA,NA,NA,NA,NA
1,"1978",26.6357860786079,10.7104166666667,18.9925,2.42833333333333,-2.60944269426943,25.3244674467447,105.825862586259,0.620559555955596,48.2,-0.304289576035215,-0.774671769832925,-0.717954521552866,-0.751523617858738,-0.907566336159528,NA,NA,NA,NA,NA
1,"1979",35.5079282928293,9.83083333333333,17.9175,1.74416666666667,0.080423792379239,33.7515376537654,101.260606060606,0.558415841584158,154.1,0.233918849476622,0.438185000032779,0.125023473578038,0.0792879993640755,-0.0169686259305899,NA,NA,NA,NA,NA
1,"1980",29.0629537953795,10.5191666666667,18.69,2.34833333333333,2.83652190219022,27.4171617161716,100.652910291029,4.01089858985898,357.1,0.279592596062099,0.304062972757678,0.500315277605143,0.747774595350004,0.967386107043128,-0.237143051236625,-0.506238721105142,-0.639520698252732,-0.779651094936743,-0.822993563103482
1,"1981",31.1728847884789,12.19625,20.3966666666667,3.99583333333333,-2.59642889288929,29.7302805280528,111.357238223822,1.6958595859586,11.5,-0.156299373185407,-0.248864713196448,-0.254229403607363,-0.354928300057327,-0.483107466138853,0.215792823088202,0.349917019245425,0.602227221457616,0.548899259428345,0.386785541325404
1,"1982",35.2749324932493,10.8820833333333,19.0866666666667,2.6775,-0.213691869186918,33.5655790579058,99.3215496549655,1.09374437443744,65.2,-0.0678508412414673,-0.145567363518158,-0.138875510743476,0.0378200021718079,0.19542706414493,-0.167921202817584,-0.125521755517337,-0.00337381596326179,0.00926401488341609,0.0379592152388116
1,"1983",35.3084608460846,10.7695833333333,18.6875,2.85166666666667,3.39006675667567,33.4783378337834,95.2078757875787,2.25735823582358,265.3,0.128606061807775,0.696851593471661,1.35740749702337,1.67919085310838,1.72718111560122,-0.926160373379222,-1.33827836318875,-1.59160307405118,-1.53245428947575,-1.38160592891013
1,"1984",32.8137488748875,9.60166666666667,17.4083333333333,1.795,1.88266726672667,31.1999774977498,96.1441569156916,1.88179567956796,247.2,0.394882484261159,0.22168243399088,-0.128312448836107,0.0840490048102078,0.379034742589741,-0.730485824953896,-1.01392617680354,-1.37770574061366,-1.7557370811297,-1.86660514638676
1,"1985",27.9397839783978,10.5025,19.0416666666667,1.96333333333333,0.57552805280528,26.5818856885689,104.108895889589,1.01134113411341,105.1,-0.161776923636709,-0.0564842533342307,0.0162191615578217,-0.0625483699414553,-0.0525706392961184,-0.539384251122229,-0.739829818165399,-0.948657244888101,-1.16624561929444,-1.35582447181226
1,"1986",29.3034128412841,11.19125,19.3933333333333,2.98916666666667,-0.235636813681367,27.9019651965197,99.9882763276328,0.781210621062106,176,0.0922652426183601,0.0137409738479654,0.00558074301772417,-0.0361435839616968,-0.0789008017805309,-0.188639567877219,-0.327027166842768,-0.428030440558587,-0.43319158336819,-0.621974442507517
1,"1987",33.671902190219,11.1220833333333,19.4991666666667,2.745,1.39710621062106,31.9611761176118,100.519261926193,1.55742574257426,207.4,0.260155279524849,0.612543265145259,0.745668877178225,0.579203953406921,0.408546128817748,-0.566312309081961,-0.706933021747323,-0.767780558688207,-0.722029789838041,-0.695254379737022
