"district","date","variable","value"
"1",1980-01-01,"eddi1",-0.130304354962295
"10",1980-01-01,"eddi1",0.648867952473023
"11",1980-01-01,"eddi1",1.56168484687805
"12",1980-01-01,"eddi1",1.44155581333698
"13",1980-01-01,"eddi1",1.60984444618225
"14",1980-01-01,"eddi1",0.800188854984615
"15",1980-01-01,"eddi1",0.800336027145386
"16",1980-01-01,"eddi1",1.16308952867985
"17",1980-01-01,"eddi1",0.617396529763937
"18",1980-01-01,"eddi1",0.823308399745396
"19",1980-01-01,"eddi1",0.456390720240924
"2",1980-01-01,"eddi1",-0.0316147327423096
"20",1980-01-01,"eddi1",1.31089492180409
"21",1980-01-01,"eddi1",1.25207540392876
"22",1980-01-01,"eddi1",1.24341319998105
"23",1980-01-01,"eddi1",1.17823983430862
"24",1980-01-01,"eddi1",0.730099002520243
"25",1980-01-01,"eddi1",1.44982009700366
"26",1980-01-01,"eddi1",1.39899875322978
"27",1980-01-01,"eddi1",1.24664158374071
"28",1980-01-01,"eddi1",1.00806183285183
"29",1980-01-01,"eddi1",1.09687816670963
"3",1980-01-01,"eddi1",0.412336304332271
"30",1980-01-01,"eddi1",1.06607375646892
"31",1980-01-01,"eddi1",0.967378377914429
"32",1980-01-01,"eddi1",-0.688371808905351
"33",1980-01-01,"eddi1",-0.291579638208662
"34",1980-01-01,"eddi1",-0.805897414684296
"35",1980-01-01,"eddi1",0.984716268146739
"36",1980-01-01,"eddi1",1.43177206317584
"37",1980-01-01,"eddi1",0.54644055927501
"38",1980-01-01,"eddi1",0.890715673565865
"39",1980-01-01,"eddi1",0.7700131718929
"4",1980-01-01,"eddi1",0.913507982095083
"40",1980-01-01,"eddi1",0.395566290471612
"41",1980-01-01,"eddi1",0.139026537537575
"42",1980-01-01,"eddi1",0.556777889078314
"43",1980-01-01,"eddi1",0.771632954478264
"44",1980-01-01,"eddi1",0.122702486813068
"45",1980-01-01,"eddi1",0.748679429292679
"47",1980-01-01,"eddi1",1.15099868897734
"48",1980-01-01,"eddi1",1.2194149851799
"49",1980-01-01,"eddi1",0.513929847627878
"5",1980-01-01,"eddi1",0.416535131633282
"50",1980-01-01,"eddi1",1.08161631557677
"51",1980-01-01,"eddi1",1.20592584908009
"52",1980-01-01,"eddi1",0.727632933192783
"53",1980-01-01,"eddi1",0.780853773866381
"54",1980-01-01,"eddi1",0.710866043965022
"55",1980-01-01,"eddi1",0.00164454678694407
"56",1980-01-01,"eddi1",0.719663036721093
"57",1980-01-01,"eddi1",1.00734918564558
"58",1980-01-01,"eddi1",1.16385944485664
"59",1980-01-01,"eddi1",1.0195004088538
"6",1980-01-01,"eddi1",0.299222767353058
