"ID","Name/ Description","Data Type","Time Step","Sequence ID","Units","Start","End","Input Type","Input Name"
3103518-6,VALLECITO RESERVOIR - Account 6,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-7,VALLECITO RESERVOIR - Account 7,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-8,VALLECITO RESERVOIR - Account 8,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-9,VALLECITO RESERVOIR - Account 9,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-10,VALLECITO RESERVOIR - Account 10,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-11,VALLECITO RESERVOIR - Account 11,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-12,VALLECITO RESERVOIR - Account 12,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-13,VALLECITO RESERVOIR - Account 13,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-14,VALLECITO RESERVOIR - Account 14,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-15,VALLECITO RESERVOIR - Account 15,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-16,VALLECITO RESERVOIR - Account 16,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-17,VALLECITO RESERVOIR - Account 17,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-18,VALLECITO RESERVOIR - Account 18,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-19,VALLECITO RESERVOIR - Account 19,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-20,VALLECITO RESERVOIR - Account 20,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
3103518-21,VALLECITO RESERVOIR - Account 21,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
31_ARS004,ARS004_LosPinos,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
31_ARS004-1,ARS004_LosPinos - Account 1,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
31_ASS003,ASS003_LosPinos,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
31_ASS003-1,ASS003_LosPinos - Account 1,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
32_ARS008,ARS008_McElmo,Initial_Storage,Month,,ACFT,1949-10,2013-09,StateModB,P:\Projects\CRWAS StateMod\All Models\CRWAS_II_Models\Current\sj2015\sj2015b.b44
