"Date","29_AGG_IrrigDemand","29_AGG_IrrigSupply","29_AGG_IrrigShortage","29_AGG_IrrigSupDirectFlow","29_AGG_MunDemand","29_AGG_MunSupply","29_AGG_MunShortage","29_ADS002_IrrigDemand","29_ADS003_IrrigDemand","29_ADS002_IrrigSupply","29_ADS003_IrrigSupply","29_ADS002_IrrigShortage","29_ADS003_IrrigShortage","29_ADS002_IrrigSupDirectFlow","29_ADS003_IrrigSupDirectFlow"
"1970-10",590,590,0,590,NA,NA,NA,346,244,346,244,0,0,346,244
"1970-11",79,79,0,79,NA,NA,NA,53,26,53,26,0,0,53,26
"1970-12",76,76,0,76,NA,NA,NA,60,16,60,16,0,0,60,16
"1971-01",85,85,0,85,NA,NA,NA,70,15,70,15,0,0,70,15
"1971-02",80,80,0,80,NA,NA,NA,65,15,65,15,0,0,65,15
"1971-03",101,101,0,101,NA,NA,NA,82,19,82,19,0,0,82,19
"1971-04",431,431,0,431,NA,NA,NA,245,186,245,186,0,0,245,186
"1971-05",2897,2897,0,2897,NA,NA,NA,1208,1689,1208,1689,0,0,1208,1689
"1971-06",4112,4112,0,4112,NA,NA,NA,1774,2338,1774,2338,0,0,1774,2338
"1971-07",3787,3787,0,3787,NA,NA,NA,1557,2230,1557,2230,0,0,1557,2230
"1971-08",2139.0002,2139.0001,1e-04,2139.0001,NA,NA,NA,983.0001,1156.0001,983,1156.0001,1e-04,0,983,1156.0001
"1971-09",1576,1575.9999,1e-04,1575.9999,NA,NA,NA,836,740,835.9999,740,1e-04,0,835.9999,740
"1971-10",931,931,0,931,NA,NA,NA,576,355,576,355,0,0,576,355
"1971-11",79,79,0,79,NA,NA,NA,53,26,53,26,0,0,53,26
"1971-12",76,76,0,76,NA,NA,NA,60,16,60,16,0,0,60,16
"1972-01",85,85,0,85,NA,NA,NA,70,15,70,15,0,0,70,15
"1972-02",80,80,0,80,NA,NA,NA,65,15,65,15,0,0,65,15
"1972-03",101,101,0,101,NA,NA,NA,82,19,82,19,0,0,82,19
"1972-04",583,583,0,583,NA,NA,NA,281,302,281,302,0,0,281,302
"1972-05",2897,2897,0,2897,NA,NA,NA,1208,1689,1208,1689,0,0,1208,1689
"1972-06",4516,4515.9998,2e-04,4515.9998,NA,NA,NA,2040,2476,2039.9998,2476,2e-04,0,2039.9998,2476
"1972-07",3332,3332,0,3332,NA,NA,NA,1421,1911,1421,1911,0,0,1421,1911
"1972-08",2358.9999,2358.9999,0,2358.9999,NA,NA,NA,1052.9999,1306,1052.9999,1306,0,0,1052.9999,1306
"1972-09",1479,1479.0343,0,1479,NA,NA,NA,768,711,768,711.0343,0,0,768,711
"1972-10",931,931,0,931,NA,NA,NA,576,355,576,355,0,0,576,355
"1972-11",79,79,0,79,NA,NA,NA,53,26,53,26,0,0,53,26
"1972-12",76,76,0,76,NA,NA,NA,60,16,60,16,0,0,60,16
"1973-01",85,85,0,85,NA,NA,NA,70,15,70,15,0,0,70,15
"1973-02",80,80,0,80,NA,NA,NA,65,15,65,15,0,0,65,15
"1973-03",101,101,0,101,NA,NA,NA,82,19,82,19,0,0,82,19
"1973-04",294,294,0,294,NA,NA,NA,117,177,117,177,0,0,117,177
"1973-05",2157.0001,2157.2601,0,2157.0001,NA,NA,NA,931,1226.0001,931.2599,1226.0001,0,0,931,1226.0001
"1973-06",4388,4387.9998,2e-04,4387.9998,NA,NA,NA,1692,2696,1692,2695.9998,0,2e-04,1692,2695.9998
"1973-07",4334,4334,0,4334,NA,NA,NA,1672,2662,1672,2662,0,0,1672,2662
"1973-08",2446.9999,2446.9999,0,2446.9999,NA,NA,NA,941,1505.9999,941,1505.9999,0,0,941,1505.9999
"1973-09",1576,1575.9999,1e-04,1575.9999,NA,NA,NA,836,740,835.9999,740,1e-04,0,835.9999,740
"1973-10",1173,1173,0,1173,NA,NA,NA,607,566,607,566,0,0,607,566
"1973-11",4,4,0,4,NA,NA,NA,3,1,3,1,0,0,3,1
"1973-12",2,2,0,2,NA,NA,NA,2,0,2,0,0,0,2,0
"1974-01",26,26,0,26,NA,NA,NA,26,0,26,0,0,0,26,0
"1974-02",1,1,0,1,NA,NA,NA,1,0,1,0,0,0,1,0
"1974-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-04",535,535,0,535,NA,NA,NA,258,277,258,277,0,0,258,277
"1974-05",5243.9998,5243.9995,2e-04,5243.9995,NA,NA,NA,2174.9998,3069,2174.9995,3069,2e-04,0,2174.9995,3069
"1974-06",6155,6154.9998,2e-04,6154.9998,NA,NA,NA,2240,3915,2239.9998,3915,2e-04,0,2239.9998,3915
"1974-07",4281,4280.9998,2e-04,4280.9998,NA,NA,NA,1838,2443,1838,2442.9998,0,2e-04,1838,2442.9998
"1974-08",3182,3182,0,3182,NA,NA,NA,1730,1452,1730,1452,0,0,1730,1452
"1974-09",1863,1863,0,1863,NA,NA,NA,903,960,903,960,0,0,903,960
"1974-10",1478,1478,0,1478,NA,NA,NA,568,910,568,910,0,0,568,910
"1974-11",99,99,0,99,NA,NA,NA,86,13,86,13,0,0,86,13
"1974-12",76,76,0,76,NA,NA,NA,76,0,76,0,0,0,76,0
"1975-01",76,76,0,76,NA,NA,NA,74,2,74,2,0,0,74,2
"1975-02",68,68,0,68,NA,NA,NA,68,0,68,0,0,0,68,0
"1975-03",78,78,0,78,NA,NA,NA,77,1,77,1,0,0,77,1
"1975-04",292,292,0,292,NA,NA,NA,184,108,184,108,0,0,184,108
"1975-05",2187.0001,2187.24,0,2187.0001,NA,NA,NA,944.0001,1243,944.24,1243,0,0,944.0001,1243
"1975-06",6580.0002,6579.9995,7e-04,6579.9995,NA,NA,NA,3469,3111.0002,3468.9995,3111,5e-04,2e-04,3468.9995,3111
"1975-07",7226.0002,7225.9998,5e-04,7225.9998,NA,NA,NA,3086.0002,4140,3085.9998,4140,5e-04,0,3085.9998,4140
"1975-08",3008.9999,3008.9999,0,3008.9999,NA,NA,NA,1050,1958.9999,1050,1958.9999,0,0,1050,1958.9999
"1975-09",2789,2789,0,2789,NA,NA,NA,1357,1432,1357,1432,0,0,1357,1432
"1975-10",1702,1702,0,1702,NA,NA,NA,911,791,911,791,0,0,911,791
"1975-11",16,16,0,16,NA,NA,NA,3,13,3,13,0,0,3,13
"1975-12",24,24,0,24,NA,NA,NA,20,4,20,4,0,0,20,4
"1976-01",2,2,0,2,NA,NA,NA,0,2,0,2,0,0,0,2
"1976-02",40,40,0,40,NA,NA,NA,40,0,40,0,0,0,40,0
"1976-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1976-04",508,508,0,508,NA,NA,NA,244,264,244,264,0,0,244,264
"1976-05",4151.9999,4151.9996,2e-04,4151.9996,NA,NA,NA,2487,1664.9999,2486.9998,1664.9999,2e-04,0,2486.9998,1664.9999
"1976-06",7071,7070.9995,5e-04,7070.9995,NA,NA,NA,3296,3775,3295.9995,3775,5e-04,0,3295.9995,3775
"1976-07",4565,4565,0,4565,NA,NA,NA,1898,2667,1898,2667,0,0,1898,2667
"1976-08",2986.0001,2986.0001,0,2986.0001,NA,NA,NA,1214,1772.0001,1214,1772.0001,0,0,1214,1772.0001
"1976-09",1916,1916,0,1916,NA,NA,NA,1110,806,1110,806,0,0,1110,806
"1976-10",1208.9999,1209.0635,1e-04,1208.9999,NA,NA,NA,810.9999,398,810.9999,398.0636,1e-04,0,810.9999,398
"1976-11",164,164,0,164,NA,NA,NA,92,72,92,72,0,0,92,72
"1976-12",156,156,0,156,NA,NA,NA,95,61,95,61,0,0,95,61
"1977-01",156,156,0,156,NA,NA,NA,92,64,92,64,0,0,92,64
"1977-02",141,141,0,141,NA,NA,NA,85,56,85,56,0,0,85,56
"1977-03",148,148,0,148,NA,NA,NA,101,47,101,47,0,0,101,47
"1977-04",890,890,0,890,NA,NA,NA,537,353,537,353,0,0,537,353
"1977-05",3741,3741,0,3741,NA,NA,NA,1796,1945,1796,1945,0,0,1796,1945
"1977-06",4132,4132,0,4132,NA,NA,NA,1832,2300,1832,2300,0,0,1832,2300
"1977-07",2674.9998,2674.9998,0,2674.9998,NA,NA,NA,1261.9999,1412.9999,1261.9999,1412.9999,0,0,1261.9999,1412.9999
"1977-08",2700,2700,0,2700,NA,NA,NA,1344,1356,1344,1356,0,0,1344,1356
"1977-09",1845.0002,1845.0002,0,1845.0002,NA,NA,NA,1083.0001,762.0001,1083.0001,762.0001,0,0,1083.0001,762.0001
"1977-10",1104,1104,0,1104,NA,NA,NA,714,390,714,390,0,0,714,390
"1977-11",164,164,0,164,NA,NA,NA,104,60,104,60,0,0,104,60
"1977-12",159,159,0,159,NA,NA,NA,75,84,75,84,0,0,75,84
"1978-01",114,114,0,114,NA,NA,NA,46,68,46,68,0,0,46,68
"1978-02",96,96,0,96,NA,NA,NA,40,56,40,56,0,0,40,56
"1978-03",131,131,0,131,NA,NA,NA,60,71,60,71,0,0,60,71
"1978-04",689,689,0,689,NA,NA,NA,533,156,533,156,0,0,533,156
"1978-05",2866.0001,2866.0001,0,2866.0001,NA,NA,NA,1664.0001,1202,1664.0001,1202,0,0,1664.0001,1202
"1978-06",6022,6021.9998,2e-04,6021.9998,NA,NA,NA,2791,3231,2790.9998,3231,2e-04,0,2790.9998,3231
"1978-07",4153.9999,4153.9996,2e-04,4153.9996,NA,NA,NA,1679.9999,2474,1679.9999,2473.9998,0,2e-04,1679.9999,2473.9998
"1978-08",3256,3256,0,3256,NA,NA,NA,1453,1803,1453,1803,0,0,1453,1803
"1978-09",1642,1641.9999,1e-04,1641.9999,NA,NA,NA,853,789,852.9999,789,1e-04,0,852.9999,789
"1978-10",1059,1059,0,1059,NA,NA,NA,629,430,629,430,0,0,629,430
"1978-11",180,180,0,180,NA,NA,NA,115,65,115,65,0,0,115,65
"1978-12",174,174,0,174,NA,NA,NA,109,65,109,65,0,0,109,65
"1979-01",147,147,0,147,NA,NA,NA,88,59,88,59,0,0,88,59
"1979-02",116,115.981,0.019,115.981,NA,NA,NA,60,56,59.981,56,0.019,0,59.981,56
"1979-03",94,94,0,94,NA,NA,NA,33,61,33,61,0,0,33,61
"1979-04",461,461,0,461,NA,NA,NA,222,239,222,239,0,0,222,239
"1979-05",1809,1809.2599,0,1808.9999,NA,NA,NA,781,1028,781.2599,1028,0,0,780.9999,1028
"1979-06",3864,3864,0,3864,NA,NA,NA,1668,2196,1668,2196,0,0,1668,2196
"1979-07",5131,5130.9998,2e-04,5130.9998,NA,NA,NA,1993,3138,1993,3137.9998,0,2e-04,1993,3137.9998
"1979-08",3139,3139,0,3139,NA,NA,NA,1348,1791,1348,1791,0,0,1348,1791
"1979-09",2119,2119,0,2119,NA,NA,NA,1100,1019,1100,1019,0,0,1100,1019
"1979-10",1155,1155,0,1155,NA,NA,NA,686,469,686,469,0,0,686,469
"1979-11",90,90,0,90,NA,NA,NA,58,32,58,32,0,0,58,32
"1979-12",101,101,0,101,NA,NA,NA,83,18,83,18,0,0,83,18
"1980-01",91,91,0,91,NA,NA,NA,83,8,83,8,0,0,83,8
"1980-02",101,101,0,101,NA,NA,NA,99,2,99,2,0,0,99,2
"1980-03",69,69,0,69,NA,NA,NA,61,8,61,8,0,0,61,8
"1980-04",468,468,0,468,NA,NA,NA,225,243,225,243,0,0,225,243
"1980-05",1824,1824.02,0,1824,NA,NA,NA,787,1037,787.02,1037,0,0,787,1037
"1980-06",5544.0002,5543.9998,5e-04,5543.9998,NA,NA,NA,2990.0002,2554,2989.9998,2554,5e-04,0,2989.9998,2554
"1980-07",4912,4911.9995,5e-04,4911.9995,NA,NA,NA,2039,2873,2038.9998,2872.9998,2e-04,2e-04,2038.9998,2872.9998
"1980-08",2859.9999,2859.9999,0,2859.9999,NA,NA,NA,1130.9999,1729,1130.9999,1729,0,0,1130.9999,1729
"1980-09",1426,1426,0,1426,NA,NA,NA,739,687,739,687,0,0,739,687
"1980-10",718,718,0,718,NA,NA,NA,389,329,389,329,0,0,389,329
"1980-11",115,115,0,115,NA,NA,NA,71,44,71,44,0,0,71,44
"1980-12",121,121,0,121,NA,NA,NA,78,43,78,43,0,0,78,43
"1981-01",121,121,0,121,NA,NA,NA,82,39,82,39,0,0,82,39
"1981-02",59,59,0,59,NA,NA,NA,43,16,43,16,0,0,43,16
"1981-03",61,61,0,61,NA,NA,NA,46,15,46,15,0,0,46,15
"1981-04",489,489,0,489,NA,NA,NA,319,170,319,170,0,0,319,170
"1981-05",2546,2546,0,2546,NA,NA,NA,1349,1197,1349,1197,0,0,1349,1197
"1981-06",4465,4464.9995,5e-04,4464.9995,NA,NA,NA,2147,2318,2146.9998,2317.9998,2e-04,2e-04,2146.9998,2317.9998
"1981-07",2932.9999,2932.9999,0,2932.9999,NA,NA,NA,1145.9999,1787,1145.9999,1787,0,0,1145.9999,1787
"1981-08",2279.0001,2279,1e-04,2279,NA,NA,NA,878.9999,1400.0001,878.9999,1400.0001,1e-04,0,878.9999,1400.0001
"1981-09",1935.0001,1935.0001,0,1935.0001,NA,NA,NA,925,1010.0001,925,1010.0001,0,0,925,1010.0001
"1981-10",1297,1297,0,1297,NA,NA,NA,916,381,916,381,0,0,916,381
"1981-11",65,65,0,65,NA,NA,NA,65,0,65,0,0,0,65,0
"1981-12",39,39,0,39,NA,NA,NA,39,0,39,0,0,0,39,0
"1982-01",31,31,0,31,NA,NA,NA,31,0,31,0,0,0,31,0
"1982-02",67,67,0,67,NA,NA,NA,67,0,67,0,0,0,67,0
"1982-03",31,31,0,31,NA,NA,NA,31,0,31,0,0,0,31,0
"1982-04",548,548,0,548,NA,NA,NA,264,284,264,284,0,0,264,284
