"Date","61_AGG_IrrigDemand","61_AGG_IrrigSupply","61_AGG_IrrigShortage","61_AGG_IrrigSupDirectFlow","61_AGG_MunDemand","61_AGG_MunSupply","61_AGG_MunShortage","61_ADS019_IrrigDemand","61_ADS019_IrrigSupply","61_ADS019_IrrigShortage","61_ADS019_IrrigSupDirectFlow"
"1970-10",540,540,0,540,NA,NA,NA,540,540,0,540
"1970-11",111,111,0,111,NA,NA,NA,111,111,0,111
"1970-12",82,82,0,82,NA,NA,NA,82,82,0,82
"1971-01",83,83,0,83,NA,NA,NA,83,83,0,83
"1971-02",80,80,0,80,NA,NA,NA,80,80,0,80
"1971-03",967,967.0001,0,967.0001,NA,NA,NA,967,967.0001,0,967.0001
"1971-04",1555,1555.0001,0,1555.0001,NA,NA,NA,1555,1555.0001,0,1555.0001
"1971-05",1200,1200.0001,0,1200.0001,NA,NA,NA,1200,1200.0001,0,1200.0001
"1971-06",1290,1290.0001,0,1290.0001,NA,NA,NA,1290,1290.0001,0,1290.0001
"1971-07",1128,1121.5504,6.4496,1121.5503,NA,NA,NA,1128,1121.5504,6.4496,1121.5503
"1971-08",666,666.0001,0,666,NA,NA,NA,666,666.0001,0,666
"1971-09",705,705,0,705,NA,NA,NA,705,705,0,705
"1971-10",518,518,0,518,NA,NA,NA,518,518,0,518
"1971-11",95,95,0,95,NA,NA,NA,95,95,0,95
"1971-12",83,83,0,83,NA,NA,NA,83,83,0,83
"1972-01",88,88,0,88,NA,NA,NA,88,88,0,88
"1972-02",66,66,0,66,NA,NA,NA,66,66,0,66
"1972-03",2867,1746.2734,1120.7266,1746.2734,NA,NA,NA,2867,1746.2734,1120.7266,1746.2734
"1972-04",1855,1085.3713,769.6287,1085.3713,NA,NA,NA,1855,1085.3713,769.6287,1085.3713
"1972-05",1438,1121.5503,316.4496,1121.5503,NA,NA,NA,1438,1121.5503,316.4496,1121.5503
"1972-06",1228,1228,0,1228,NA,NA,NA,1228,1228,0,1228
"1972-07",1079,1079,0,1079,NA,NA,NA,1079,1079,0,1079
"1972-08",920,920.0856,0,920.0001,NA,NA,NA,920,920.0856,0,920.0001
"1972-09",862,862,0,862,NA,NA,NA,862,862,0,862
"1972-10",593,593,0,593,NA,NA,NA,593,593,0,593
"1972-11",116,116,0,116,NA,NA,NA,116,116,0,116
"1972-12",116,116,0,116,NA,NA,NA,116,116,0,116
"1973-01",113,112.983,0.017,112.983,NA,NA,NA,113,112.983,0.017,112.983
"1973-02",134,134,0,134,NA,NA,NA,134,134,0,134
"1973-03",708,708,0,708,NA,NA,NA,708,708,0,708
"1973-04",1053,1053,0,1053,NA,NA,NA,1053,1053,0,1053
"1973-05",1175,1175,0,1175,NA,NA,NA,1175,1175,0,1175
"1973-06",1400.9999,1400.9999,0,1400.9999,NA,NA,NA,1400.9999,1400.9999,0,1400.9999
"1973-07",1554,1554.0001,0,1554,NA,NA,NA,1554,1554.0001,0,1554
"1973-08",1754,1121.5503,632.4496,1121.5503,NA,NA,NA,1754,1121.5503,632.4496,1121.5503
"1973-09",1697,1085.3713,611.6287,1085.3713,NA,NA,NA,1697,1085.3713,611.6287,1085.3713
"1973-10",1288,1121.5503,166.4496,1121.5503,NA,NA,NA,1288,1121.5503,166.4496,1121.5503
"1973-11",100,100,0,100,NA,NA,NA,100,100,0,100
"1973-12",74,74,0,74,NA,NA,NA,74,74,0,74
"1974-01",75,75,0,75,NA,NA,NA,75,75,0,75
"1974-02",71,71,0,71,NA,NA,NA,71,71,0,71
"1974-03",1667,1667,0,1667,NA,NA,NA,1667,1667,0,1667
"1974-04",1209.0001,1209.0002,0,1209.0002,NA,NA,NA,1209.0001,1209.0002,0,1209.0002
"1974-05",1675,1675.0001,0,1675.0001,NA,NA,NA,1675,1675.0001,0,1675.0001
"1974-06",1574,1529.0881,44.9119,1529.0881,NA,NA,NA,1574,1529.0881,44.9119,1529.0881
"1974-07",1512,1121.5504,390.4496,1121.5503,NA,NA,NA,1512,1121.5504,390.4496,1121.5503
"1974-08",1040.0001,1040.0001,0,1040.0001,NA,NA,NA,1040.0001,1040.0001,0,1040.0001
"1974-09",904,904.0001,0,904.0001,NA,NA,NA,904,904.0001,0,904.0001
"1974-10",788,788,0,788,NA,NA,NA,788,788,0,788
"1974-11",79,79,0,79,NA,NA,NA,79,79,0,79
"1974-12",104,104,0,104,NA,NA,NA,104,104,0,104
"1975-01",94,94,0,94,NA,NA,NA,94,94,0,94
"1975-02",83,83,0,83,NA,NA,NA,83,83,0,83
"1975-03",679,679,0,679,NA,NA,NA,679,679,0,679
"1975-04",948,948,0,948,NA,NA,NA,948,948,0,948
"1975-05",971,971,0,971,NA,NA,NA,971,971,0,971
"1975-06",1033,1033,0,1033,NA,NA,NA,1033,1033,0,1033
"1975-07",945,945.0001,0,945.0001,NA,NA,NA,945,945.0001,0,945.0001
"1975-08",796,796.0685,0,796.0001,NA,NA,NA,796,796.0685,0,796.0001
"1975-09",597,597,0,597,NA,NA,NA,597,597,0,597
"1975-10",478,478,0,478,NA,NA,NA,478,478,0,478
"1975-11",0,0,0,0,NA,NA,NA,0,0,0,0
"1975-12",0,0,0,0,NA,NA,NA,0,0,0,0
"1976-01",0,0,0,0,NA,NA,NA,0,0,0,0
"1976-02",0,0,0,0,NA,NA,NA,0,0,0,0
"1976-03",603.0001,603.0001,0,603.0001,NA,NA,NA,603.0001,603.0001,0,603.0001
"1976-04",1300,1300.0001,0,1300.0001,NA,NA,NA,1300,1300.0001,0,1300.0001
"1976-05",1071,1071,0,1071,NA,NA,NA,1071,1071,0,1071
"1976-06",1159,1159,0,1159,NA,NA,NA,1159,1159,0,1159
"1976-07",1012.9999,1012.9999,0,1012.9999,NA,NA,NA,1012.9999,1012.9999,0,1012.9999
"1976-08",789,789.0001,0,789.0001,NA,NA,NA,789,789.0001,0,789.0001
"1976-09",635.9999,635.9999,0,635.9999,NA,NA,NA,635.9999,635.9999,0,635.9999
"1976-10",477,477,0,477,NA,NA,NA,477,477,0,477
"1976-11",0,0,0,0,NA,NA,NA,0,0,0,0
"1976-12",0,0,0,0,NA,NA,NA,0,0,0,0
"1977-01",0,0,0,0,NA,NA,NA,0,0,0,0
"1977-02",0,0,0,0,NA,NA,NA,0,0,0,0
"1977-03",576,576,0,576,NA,NA,NA,576,576,0,576
"1977-04",1891.0001,1085.3713,805.6288,1085.3713,NA,NA,NA,1891.0001,1085.3713,805.6288,1085.3713
"1977-05",1354.0001,1354.0001,0,1354.0001,NA,NA,NA,1354.0001,1354.0001,0,1354.0001
"1977-06",1410,1087.8938,322.1062,1085.3713,NA,NA,NA,1410,1087.8938,322.1062,1085.3713
"1977-07",1023,1023,0,1023,NA,NA,NA,1023,1023,0,1023
"1977-08",770.0001,770.0856,0,770.0001,NA,NA,NA,770.0001,770.0856,0,770.0001
"1977-09",806,806,0,806,NA,NA,NA,806,806,0,806
"1977-10",650,650,0,650,NA,NA,NA,650,650,0,650
"1977-11",300,300,0,300,NA,NA,NA,300,300,0,300
"1977-12",108,108,0,108,NA,NA,NA,108,108,0,108
