Date,36_AGG_IrrigDemand,36_AGG_IrrigSupply,36_AGG_IrrigShortage,36_AGG_IrrigSupDirectFlow,36_AGG_MunDemand,36_AGG_MunSupply,36_AGG_MunShortage,36_ADC017_IrrigDemand,36_ADC018_IrrigDemand,36_ADC019_IrrigDemand,36_ADC017_IrrigSupply,36_ADC018_IrrigSupply,36_ADC019_IrrigSupply,36_ADC017_IrrigShortage,36_ADC018_IrrigShortage,36_ADC019_IrrigShortage,36_ADC017_IrrigSupDirectFlow,36_ADC018_IrrigSupDirectFlow,36_ADC019_IrrigSupDirectFlow,3600649_D_IrrigDemand,3600649_D_IrrigSupply,3600649_D_IrrigShortage,3600649_D_IrrigSupDirectFlow,3600662_D_IrrigDemand,3600662_D_IrrigSupply,3600662_D_IrrigShortage,3600662_D_IrrigSupDirectFlow,3600776_D_IrrigDemand,3600776_D_IrrigSupply,3600776_D_IrrigShortage,3600776_D_IrrigSupDirectFlow,3600868_D_IrrigDemand,3600868_D_IrrigSupply,3600868_D_IrrigShortage,3600868_D_IrrigSupDirectFlow,36_KeyMun_MunDemand,36_KeyMun_MunSupply,36_KeyMun_MunShortage
1971-09,3236.0000,3264.4753,0.0000,3236.0000,31.0000,31.0000,.0000,1463.0000,556.0001,347.0000,1463.0000,556.0001,367.6200,0.0000,0.0000,0.0000,1463.0000,556.0001,347.0000,337.0000,337.0000,0.0000,337.0000,145.0000,152.8553,0.0000,145.0000,300.0000,300.0000,0.0000,300.0000,88.0000,88.0000,0.0000,88.0000,31.0000,31.0000,.0000
1971-10,450.0000,452.7000,0.0000,450.0000,22.0000,22.0000,.0000,273.0000,129.0000,45.0000,273.0000,129.0000,47.7000,0.0000,0.0000,0.0000,273.0000,129.0000,45.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,22.0000,.0000
1971-11,3.0000,3.0000,0.0000,3.0000,23.0000,23.0000,.0000,0.0000,3.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,23.0000,.0000
1971-12,1.0000,1.0000,0.0000,1.0000,30.0000,30.0000,.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000
1972-01,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000
1972-02,1.0000,1.0000,0.0000,1.0000,29.0000,29.0000,.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,.0000
1972-03,2.0000,2.0000,0.0000,2.0000,35.0000,35.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000
1972-04,806.0000,811.3882,0.0000,806.0000,26.0000,26.0000,.0000,93.0000,80.0000,500.0000,98.3882,80.0000,500.0000,0.0000,0.0000,0.0000,93.0000,80.0000,500.0000,0.0000,0.0000,0.0000,0.0000,133.0000,133.0000,0.0000,133.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,26.0000,.0000
1972-05,8571.9999,8571.9999,0.0000,8571.9999,29.0000,29.0000,.0000,1623.0000,1130.9999,1626.0000,1623.0000,1130.9999,1626.0000,0.0000,0.0000,0.0000,1623.0000,1130.9999,1626.0000,936.0000,936.0000,0.0000,936.0000,2367.0000,2367.0000,0.0000,2367.0000,560.0000,560.0000,0.0000,560.0000,329.0000,329.0000,0.0000,329.0000,29.0000,29.0000,.0000
1972-06,21102.9998,21102.5251,0.4749,21102.5251,46.0000,46.0000,0.0000,5204.0000,3117.9998,1906.0000,5204.0000,3117.9998,1906.0000,0.0000,0.0000,0.0000,5204.0000,3117.9998,1906.0000,3194.0000,3194.0000,0.0000,3194.0000,5419.0000,5418.5254,0.4749,5418.5254,1369.0000,1369.0000,0.0000,1369.0000,893.0000,892.9999,.0001,892.9999,46.0000,46.0000,0.0000
