"Date","99_AGG_IrrigDemand","99_AGG_IrrigSupply","99_AGG_IrrigShortage","99_AGG_IrrigSupDirectFlow","99_AGG_MunDemand","99_AGG_MunSupply","99_AGG_MunShortage","9900528_MunDemand","9900528_MunSupply","9900528_MunShortage"
"2006-10",NA,NA,NA,NA,59,59,0,59,59,0
"2006-11",NA,NA,NA,NA,57,57,0,57,57,0
"2006-12",NA,NA,NA,NA,56,56,0,56,56,0
"2007-01",NA,NA,NA,NA,52,52,0,52,52,0
"2007-02",NA,NA,NA,NA,45,45,0,45,45,0
"2007-03",NA,NA,NA,NA,54,54,0,54,54,0
"2007-04",NA,NA,NA,NA,341,341,0,341,341,0
"2007-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2007-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2007-07",NA,NA,NA,NA,640,640,0,640,640,0
"2007-08",NA,NA,NA,NA,84,0,84,84,0,84
"2007-09",NA,NA,NA,NA,43,43,0,43,43,0
"2007-10",NA,NA,NA,NA,59,59,0,59,59,0
"2007-11",NA,NA,NA,NA,57,57,0,57,57,0
"2007-12",NA,NA,NA,NA,56,56,0,56,56,0
"2008-01",NA,NA,NA,NA,52,52,0,52,52,0
"2008-02",NA,NA,NA,NA,45,45,0,45,45,0
"2008-03",NA,NA,NA,NA,54,54,0,54,54,0
"2008-04",NA,NA,NA,NA,341,341,0,341,341,0
"2008-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2008-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2008-07",NA,NA,NA,NA,640,640,0,640,640,0
"2008-08",NA,NA,NA,NA,84,84,0,84,84,0
"2008-09",NA,NA,NA,NA,43,43,0,43,43,0
"2008-10",NA,NA,NA,NA,59,59,0,59,59,0
"2008-11",NA,NA,NA,NA,57,57,0,57,57,0
"2008-12",NA,NA,NA,NA,56,56,0,56,56,0
"2009-01",NA,NA,NA,NA,52,52,0,52,52,0
"2009-02",NA,NA,NA,NA,45,45,0,45,45,0
"2009-03",NA,NA,NA,NA,54,54,0,54,54,0
"2009-04",NA,NA,NA,NA,341,341,0,341,341,0
"2009-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2009-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2009-07",NA,NA,NA,NA,640,640,0,640,640,0
"2009-08",NA,NA,NA,NA,84,84,0,84,84,0
"2009-09",NA,NA,NA,NA,43,43,0,43,43,0
"2009-10",NA,NA,NA,NA,59,59,0,59,59,0
"2009-11",NA,NA,NA,NA,57,57,0,57,57,0
"2009-12",NA,NA,NA,NA,56,56,0,56,56,0
"2010-01",NA,NA,NA,NA,52,52,0,52,52,0
"2010-02",NA,NA,NA,NA,45,45,0,45,45,0
"2010-03",NA,NA,NA,NA,54,54,0,54,54,0
"2010-04",NA,NA,NA,NA,341,341,0,341,341,0
"2010-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2010-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2010-07",NA,NA,NA,NA,640,640,0,640,640,0
"2010-08",NA,NA,NA,NA,84,84,0,84,84,0
"2010-09",NA,NA,NA,NA,43,43,0,43,43,0
"2010-10",NA,NA,NA,NA,59,59,0,59,59,0
"2010-11",NA,NA,NA,NA,57,57,0,57,57,0
"2010-12",NA,NA,NA,NA,56,56,0,56,56,0
"2011-01",NA,NA,NA,NA,52,52,0,52,52,0
"2011-02",NA,NA,NA,NA,45,45,0,45,45,0
"2011-03",NA,NA,NA,NA,54,54,0,54,54,0
"2011-04",NA,NA,NA,NA,341,341,0,341,341,0
"2011-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2011-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2011-07",NA,NA,NA,NA,640,640,0,640,640,0
"2011-08",NA,NA,NA,NA,84,84,0,84,84,0
"2011-09",NA,NA,NA,NA,43,43,0,43,43,0
"2011-10",NA,NA,NA,NA,59,59,0,59,59,0
"2011-11",NA,NA,NA,NA,57,57,0,57,57,0
"2011-12",NA,NA,NA,NA,56,56,0,56,56,0
"2012-01",NA,NA,NA,NA,52,52,0,52,52,0
"2012-02",NA,NA,NA,NA,45,45,0,45,45,0
"2012-03",NA,NA,NA,NA,54,54,0,54,54,0
"2012-04",NA,NA,NA,NA,341,341,0,341,341,0
"2012-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2012-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2012-07",NA,NA,NA,NA,640,640,0,640,640,0
"2012-08",NA,NA,NA,NA,84,0,84,84,0,84
"2012-09",NA,NA,NA,NA,43,0,43,43,0,43
"2012-10",NA,NA,NA,NA,59,0,59,59,0,59
"2012-11",NA,NA,NA,NA,57,57,0,57,57,0
"2012-12",NA,NA,NA,NA,56,56,0,56,56,0
