"Date","99_AGG_IrrigDemand","99_AGG_IrrigSupply","99_AGG_IrrigShortage","99_AGG_IrrigSupDirectFlow","99_AGG_MunDemand","99_AGG_MunSupply","99_AGG_MunShortage","9900528_MunDemand","9900528_MunSupply","9900528_MunShortage"
"1978-07",NA,NA,NA,NA,640,640,0,640,640,0
"1978-08",NA,NA,NA,NA,84,84,0,84,84,0
"1978-09",NA,NA,NA,NA,43,43,0,43,43,0
"1978-10",NA,NA,NA,NA,59,59,0,59,59,0
"1978-11",NA,NA,NA,NA,57,57,0,57,57,0
"1978-12",NA,NA,NA,NA,56,56,0,56,56,0
"1979-01",NA,NA,NA,NA,52,52,0,52,52,0
"1979-02",NA,NA,NA,NA,45,45,0,45,45,0
"1979-03",NA,NA,NA,NA,54,54,0,54,54,0
"1979-04",NA,NA,NA,NA,341,341,0,341,341,0
"1979-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1979-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1979-07",NA,NA,NA,NA,640,640,0,640,640,0
"1979-08",NA,NA,NA,NA,84,84,0,84,84,0
"1979-09",NA,NA,NA,NA,43,0,43,43,0,43
"1979-10",NA,NA,NA,NA,59,59,0,59,59,0
"1979-11",NA,NA,NA,NA,57,57,0,57,57,0
"1979-12",NA,NA,NA,NA,56,56,0,56,56,0
"1980-01",NA,NA,NA,NA,52,52,0,52,52,0
"1980-02",NA,NA,NA,NA,45,45,0,45,45,0
"1980-03",NA,NA,NA,NA,54,54,0,54,54,0
"1980-04",NA,NA,NA,NA,341,341,0,341,341,0
"1980-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1980-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1980-07",NA,NA,NA,NA,640,640,0,640,640,0
"1980-08",NA,NA,NA,NA,84,84,0,84,84,0
"1980-09",NA,NA,NA,NA,43,43,0,43,43,0
"1980-10",NA,NA,NA,NA,59,59,0,59,59,0
"1980-11",NA,NA,NA,NA,57,57,0,57,57,0
"1980-12",NA,NA,NA,NA,56,56,0,56,56,0
"1981-01",NA,NA,NA,NA,52,52,0,52,52,0
"1981-02",NA,NA,NA,NA,45,45,0,45,45,0
"1981-03",NA,NA,NA,NA,54,54,0,54,54,0
"1981-04",NA,NA,NA,NA,341,341,0,341,341,0
"1981-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1981-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1981-07",NA,NA,NA,NA,640,640,0,640,640,0
"1981-08",NA,NA,NA,NA,84,84,0,84,84,0
"1981-09",NA,NA,NA,NA,43,0,43,43,0,43
"1981-10",NA,NA,NA,NA,59,59,0,59,59,0
"1981-11",NA,NA,NA,NA,57,57,0,57,57,0
"1981-12",NA,NA,NA,NA,56,56,0,56,56,0
"1982-01",NA,NA,NA,NA,52,52,0,52,52,0
"1982-02",NA,NA,NA,NA,45,45,0,45,45,0
"1982-03",NA,NA,NA,NA,54,54,0,54,54,0
"1982-04",NA,NA,NA,NA,341,341,0,341,341,0
"1982-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1982-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1982-07",NA,NA,NA,NA,640,640,0,640,640,0
"1982-08",NA,NA,NA,NA,84,84,0,84,84,0
"1982-09",NA,NA,NA,NA,43,43,0,43,43,0
"1982-10",NA,NA,NA,NA,59,59,0,59,59,0
"1982-11",NA,NA,NA,NA,57,57,0,57,57,0
"1982-12",NA,NA,NA,NA,56,56,0,56,56,0
"1983-01",NA,NA,NA,NA,52,52,0,52,52,0
"1983-02",NA,NA,NA,NA,45,45,0,45,45,0
"1983-03",NA,NA,NA,NA,54,54,0,54,54,0
"1983-04",NA,NA,NA,NA,341,341,0,341,341,0
"1983-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1983-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1983-07",NA,NA,NA,NA,640,640,0,640,640,0
"1983-08",NA,NA,NA,NA,84,84,0,84,84,0
"1983-09",NA,NA,NA,NA,43,43,0,43,43,0
"1983-10",NA,NA,NA,NA,59,59,0,59,59,0
"1983-11",NA,NA,NA,NA,57,57,0,57,57,0
"1983-12",NA,NA,NA,NA,56,56,0,56,56,0
"1984-01",NA,NA,NA,NA,52,52,0,52,52,0
"1984-02",NA,NA,NA,NA,45,45,0,45,45,0
"1984-03",NA,NA,NA,NA,54,54,0,54,54,0
"1984-04",NA,NA,NA,NA,341,341,0,341,341,0
"1984-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1984-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1984-07",NA,NA,NA,NA,640,640,0,640,640,0
"1984-08",NA,NA,NA,NA,84,84,0,84,84,0
"1984-09",NA,NA,NA,NA,43,43,0,43,43,0
"1984-10",NA,NA,NA,NA,59,59,0,59,59,0
"1984-11",NA,NA,NA,NA,57,57,0,57,57,0
"1984-12",NA,NA,NA,NA,56,56,0,56,56,0
"1985-01",NA,NA,NA,NA,52,52,0,52,52,0
"1985-02",NA,NA,NA,NA,45,45,0,45,45,0
"1985-03",NA,NA,NA,NA,54,54,0,54,54,0
"1985-04",NA,NA,NA,NA,341,341,0,341,341,0
"1985-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1985-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1985-07",NA,NA,NA,NA,640,640,0,640,640,0
"1985-08",NA,NA,NA,NA,84,84,0,84,84,0
"1985-09",NA,NA,NA,NA,43,43,0,43,43,0
"1985-10",NA,NA,NA,NA,59,59,0,59,59,0
"1985-11",NA,NA,NA,NA,57,57,0,57,57,0
"1985-12",NA,NA,NA,NA,56,56,0,56,56,0
"1986-01",NA,NA,NA,NA,52,52,0,52,52,0
"1986-02",NA,NA,NA,NA,45,45,0,45,45,0
"1986-03",NA,NA,NA,NA,54,54,0,54,54,0
"1986-04",NA,NA,NA,NA,341,341,0,341,341,0
