"Date","50_AGG_IrrigDemand","50_AGG_IrrigSupply","50_AGG_IrrigShortage","50_AGG_IrrigSupDirectFlow","50_AGG_MunDemand","50_AGG_MunSupply","50_AGG_MunShortage","5000734_D_IrrigDemand","5000734_D_IrrigSupply","5000734_D_IrrigShortage","5000734_D_IrrigSupDirectFlow","50_ADC012_IrrigDemand","50_ADC013_IrrigDemand","50_ADC014_IrrigDemand","50_ADC015_IrrigDemand","50_ADC016_IrrigDemand","50_ADC020_IrrigDemand","50_ADC012_IrrigSupply","50_ADC013_IrrigSupply","50_ADC014_IrrigSupply","50_ADC015_IrrigSupply","50_ADC016_IrrigSupply","50_ADC020_IrrigSupply","50_ADC012_IrrigShortage","50_ADC013_IrrigShortage","50_ADC014_IrrigShortage","50_ADC015_IrrigShortage","50_ADC016_IrrigShortage","50_ADC020_IrrigShortage","50_ADC012_IrrigSupDirectFlow","50_ADC013_IrrigSupDirectFlow","50_ADC014_IrrigSupDirectFlow","50_ADC015_IrrigSupDirectFlow","50_ADC016_IrrigSupDirectFlow","50_ADC020_IrrigSupDirectFlow","5000653_D_IrrigDemand","5000653_D_IrrigSupply","5000653_D_IrrigShortage","5000653_D_IrrigSupDirectFlow"
"1972-09",3131,2484.1448,726.9552,2272.6319,NA,NA,NA,208,220.68,0,208,870,517,410,293,257,335,922.2,0,391.7097,101.3351,272.22,335,0,517,18.2903,191.6649,0,0,870,0,316.7603,44.8717,257,335,241,241,0,241
"1972-10",666,675.74,0,666,NA,NA,NA,25,25,0,25,210,90,72,52,45,52,210,90,76.12,52,47.7,54.92,0,0,0,0,0,0,210,90,72,52,45,52,120,120,0,120
"1972-11",4,4,0,4,NA,NA,NA,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1972-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1973-04",330,330,0,330,NA,NA,NA,0,0,0,0,164,15,19,76,14,28,164,15,19,76,14,28,0,0,0,0,0,0,164,15,19,76,14,28,14,14,0,14
"1973-05",8603.9999,8603.9999,0,8603.9999,NA,NA,NA,1457,1457,0,1457,2139,658,1427,868,457,938,2139,658,1427,868,457,938,0,0,0,0,0,0,2139,658,1427,868,457,938,659.9999,659.9999,0,659.9999
"1973-06",23181.9998,22317.8951,864.105,22317.8951,NA,NA,NA,2713,2713,0,2713,5659,2516,3925.9995,1314,1825,2088,5658.9995,1758.3792,3925.9995,1314,1825.0001,1981.5166,5e-04,757.621,0,0,0,106.4836,5658.9995,1758.3792,3925.9995,1314,1825.0001,1981.5166,3141.0002,3141.0002,0,3141.0002
"1973-07",13836,13137.3875,698.6125,12955.4428,NA,NA,NA,917,917,0,917,3723.0002,1455,2880,810.9999,1292,987.9999,3723.0002,756.3875,2880,810.9999,1292,987.9999,0,698.6125,0,0,0,0,3723.0002,574.4428,2880,810.9999,1292,987.9999,1769.9999,1769.9999,0,1769.9999
"1973-08",4483,4111.8462,566.5338,3916.4663,NA,NA,NA,470,498.2,0,470,1230,730,629,413,363,410,1303.7999,163.4663,636.34,437.98,384.98,434.6,0,566.5338,0,0,0,0,1230,163.4663,629,413,363,410,238,252.48,0,238
"1973-09",4173,3394.8415,885.2583,2928.6558,NA,NA,NA,300,318,0,300,1147,682,540,387,338,442,1215.6199,0,455.1725,268.5691,358.48,442,0,682,84.8274,118.4309,0,0,1147,0,285.1577,79.498,338,442,337,337,0,337
"1973-10",1299,1148.0225,201.2175,1003.9773,NA,NA,NA,150,150,0,56.1948,347,205,163,117,102,115,367.62,3.7825,172.98,123.82,107.92,121.9,0,201.2175,0,0,0,0,347,3.7825,163,117,102,115,100,100,0,100
"1973-11",5,5,0,5,NA,NA,NA,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
