"Date","34_AGG_IrrigDemand","34_AGG_IrrigSupply","34_AGG_IrrigShortage","34_AGG_IrrigSupDirectFlow","34_AGG_MunDemand","34_AGG_MunSupply","34_AGG_MunShortage","34_ADS012_IrrigDemand","34_ADS013_IrrigDemand","34_ADS014_IrrigDemand","34_ADS012_IrrigSupply","34_ADS013_IrrigSupply","34_ADS014_IrrigSupply","34_ADS012_IrrigShortage","34_ADS013_IrrigShortage","34_ADS014_IrrigShortage","34_ADS012_IrrigSupDirectFlow","34_ADS013_IrrigSupDirectFlow","34_ADS014_IrrigSupDirectFlow"
"1975-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1975-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1975-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1975-04",181,181,0,181,NA,NA,NA,86,15,80,86,15,80,0,0,0,86,15,80
"1975-05",1006,1006,0,1006,NA,NA,NA,491,115,400,491,115,400,0,0,0,491,115,400
"1975-06",2957,2957,0,2006.6956,NA,NA,NA,1046,215,1696,1046,215,1696,0,0,0,886.0294,215,905.6661
"1975-07",2791,2791,0,1925.855,NA,NA,NA,694,296,1801,694,296,1801,0,0,0,694,296,935.855
"1975-08",2048.0001,2048,1e-04,535.0496,NA,NA,NA,365,291,1392.0001,365,291,1392,0,0,1e-04,365,0,170.0496
"1975-09",1386,1386.04,0,372.5379,NA,NA,NA,324,93,969,324.04,93,969,0,0,0,193.3913,0,179.1467
"1975-10",565,565.0873,0,311.9961,NA,NA,NA,252,59,254,252,59.0873,254,0,0,0,199.8376,0,112.1585
"1975-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1975-12",45,45,0,45,NA,NA,NA,0,0,45,0,0,45,0,0,0,0,0,45
"1976-01",92,92,0,92,NA,NA,NA,0,0,92,0,0,92,0,0,0,0,0,92
"1976-02",86,86,0,86,NA,NA,NA,0,0,86,0,0,86,0,0,0,0,0,86
"1976-03",124,124,0,124,NA,NA,NA,32,0,92,32,0,92,0,0,0,32,0,92
"1976-04",255,255.1968,0,255,NA,NA,NA,35,0,220,35,0,220.1968,0,0,0,35,0,220
"1976-05",1874.9999,1875.1799,0,1592.4039,NA,NA,NA,533,196,1145.9999,533.18,196,1145.9999,0,0,0,460.5489,196,935.855
"1976-06",2220,2220.1199,0,1143.4129,NA,NA,NA,772,304,1144,772.1199,304,1144,0,0,0,445.6924,0,697.7205
"1976-07",2008,1224.6829,783.3171,688.3861,NA,NA,NA,694,230,1084,586.8524,50.3616,587.4689,107.1475,179.6384,496.5312,460.5488,0,227.8373
"1976-08",1487,227.5025,1259.4975,138.3491,NA,NA,NA,365,224,898,227.5025,0,0,137.4975,224,898,138.3491,0,0
"1976-09",979,133.8862,845.1138,133.8862,NA,NA,NA,302,148,529,133.8862,0,0,168.1138,148,529,133.8862,0,0
"1976-10",326,138.3491,187.6509,138.3491,NA,NA,NA,163,39,124,138.3491,0,0,24.6509,39,124,138.3491,0,0
"1976-11",53,53,0,53,NA,NA,NA,0,0,53,0,0,53,0,0,0,0,0,53
"1976-12",68,68,0,68,NA,NA,NA,0,0,68,0,0,68,0,0,0,0,0,68
"1977-01",63,63,0,63,NA,NA,NA,0,0,63,0,0,63,0,0,0,0,0,63
"1977-02",29,29,0,29,NA,NA,NA,0,0,29,0,0,29,0,0,0,0,0,29
"1977-03",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1977-04",379,379,0,200.9137,NA,NA,NA,48,1,330,48,1,330,0,0,0,48,0,152.9137
"1977-05",1224,416.2735,807.7265,264.1244,NA,NA,NA,550,128,546,225.7576,0.6078,189.9081,324.2424,127.3922,356.0919,199.8376,0,64.2867
"1977-06",2297,133.8862,2163.1138,133.8862,NA,NA,NA,863,232,1202,133.8862,0,0,729.1138,232,1202,133.8862,0,0
"1977-07",1963.0001,138.3491,1824.6509,138.3491,NA,NA,NA,700.0001,196,1067,138.3491,0,0,561.6509,196,1067,138.3491,0,0
"1977-08",1515,138.3491,1376.6509,138.3491,NA,NA,NA,381,185,949,138.3491,0,0,242.6509,185,949,138.3491,0,0
"1977-09",911,133.8862,777.1138,133.8862,NA,NA,NA,320,91,500,133.8862,0,0,186.1138,91,500,133.8862,0,0
"1977-10",457,129.556,327.444,129.556,NA,NA,NA,194,44,219,129.556,0,0,64.444,44,219,129.556,0,0
"1977-11",43,0,43,0,NA,NA,NA,5,0,38,0,0,0,5,0,38,0,0,0
"1977-12",72,72,0,72,NA,NA,NA,14,0,58,14,0,58,0,0,0,14,0,58
"1978-01",62,56.7754,5.2246,56.7754,NA,NA,NA,6,0,56,6,0,50.7754,0,0,5.2246,6,0,50.7754
"1978-02",56,56,0,56,NA,NA,NA,6,0,50,6,0,50,0,0,0,6,0,50
"1978-03",61,61,0,61,NA,NA,NA,6,0,55,6,0,55,0,0,0,6,0,55
"1978-04",203,203.0197,0,203,NA,NA,NA,16,0,187,16,0,187.0197,0,0,0,16,0,187
"1978-05",1098,1098.0499,0,1098,NA,NA,NA,419,98,581,419,98.0499,581,0,0,0,419,98,581
"1978-06",2186,2186.02,0,1903.6662,NA,NA,NA,787,211,1188,787.02,211,1188,0,0,0,787,211,905.6661
"1978-07",2192.0001,2192.1201,1e-04,730.6909,NA,NA,NA,772,249,1171.0001,772.1199,249,1171.0001,0,0,1e-04,460.5489,0,270.1421
"1978-08",1905,604.6961,1300.304,168.6628,NA,NA,NA,461,223,1221,164.3892,50.3616,389.9453,296.6108,172.6384,831.0547,138.3491,0,30.3137
"1978-09",963.9999,133.8862,830.1137,133.8862,NA,NA,NA,296,88,579.9999,133.8862,0,0,162.1138,88,579.9999,133.8862,0,0
