Date,64_AGG_IrrigDemand,64_AGG_IrrigSupply,64_AGG_IrrigShortage,64_AGG_IrrigSupDirectFlow,64_AGG_MunDemand,64_AGG_MunSupply,64_AGG_MunShortage,6400522_D_IrrigDemand,6400522_D_IrrigSupply,6400522_D_IrrigShortage,6400522_D_IrrigSupDirectFlow,6400511_I_IrrigDemand,6400511_I_IrrigSupply,6400511_I_IrrigShortage,6400511_I_IrrigSupDirectFlow,6400525_IrrigDemand,6400525_IrrigSupply,6400525_IrrigShortage,6400525_IrrigSupDirectFlow,6400584_IrrigDemand,6400584_IrrigSupply,6400584_IrrigShortage,6400584_IrrigSupDirectFlow,6400520_IrrigDemand,6400520_IrrigSupply,6400520_IrrigShortage,6400520_IrrigSupDirectFlow,6400502_IrrigDemand,6400502_IrrigSupply,6400502_IrrigShortage,6400502_IrrigSupDirectFlow,6400524_IrrigDemand,6400524_IrrigSupply,6400524_IrrigShortage,6400524_IrrigSupDirectFlow,6400542_IrrigDemand,6400542_IrrigSupply,6400542_IrrigShortage,6400542_IrrigSupDirectFlow,6400533_IrrigDemand,6400533_IrrigSupply,6400533_IrrigShortage,6400533_IrrigSupDirectFlow,6400504_IrrigDemand,6400504_IrrigSupply,6400504_IrrigShortage,6400504_IrrigSupDirectFlow,6400516_IrrigDemand,6400516_IrrigSupply,6400516_IrrigShortage,6400516_IrrigSupDirectFlow,6400514_IrrigDemand,6400514_IrrigSupply,6400514_IrrigShortage,6400514_IrrigSupDirectFlow,6400599_IrrigDemand,6400599_IrrigSupply,6400599_IrrigShortage,6400599_IrrigSupDirectFlow,6400531_IrrigDemand,6400531_IrrigSupply,6400531_IrrigShortage,6400531_IrrigSupDirectFlow,6400508_IrrigDemand,6400508_IrrigSupply,6400508_IrrigShortage,6400508_IrrigSupDirectFlow,6400535_IrrigDemand,6400535_IrrigSupply,6400535_IrrigShortage,6400535_IrrigSupDirectFlow,6400503_IrrigDemand,6400503_IrrigSupply,6400503_IrrigShortage,6400503_IrrigSupDirectFlow,6400530_IrrigDemand,6400530_IrrigSupply,6400530_IrrigShortage,6400530_IrrigSupDirectFlow,6400528_IrrigDemand,6400528_IrrigSupply,6400528_IrrigShortage,6400528_IrrigSupDirectFlow
1971-08,55012.0001,55034.2081,663.3624,35360.0628,,,,1557.0000,1683.8389,0.0000,1544.0000,10790.0000,10942.4238,0.0000,0.0000,483.0000,483.0000,0.0000,483.0000,114.0000,0.0000,114.0000,0.0000,6650.0000,6708.8784,0.0000,6650.0000,390.0000,390.0000,.0000,390.0000,1987.0001,2029.6770,0.0000,1987.0001,73.0000,0.0000,73.0000,0.0000,8464.0000,8741.8994,0.0000,8464.0000,1820.0000,1820.0000,.0000,0.0000,1614.0000,1614.0000,0.0000,1337.0000,296.0000,299.9735,0.0000,296.0000,370.0000,338.0000,32.0000,0.0000,2604.0000,2626.8794,0.0000,2604.0000,3664.0000,3664.0000,0.0000,0.0000,3290.9998,3290.9998,.0000,3074.4250,860.0000,860.0000,0.0000,860.0000,2497.0002,2497.0002,.0001,1317.0000,7488.0000,7043.6377,444.3623,6353.6377
1971-09,19494.9999,19511.9994,88.0001,10071.0000,,,,709.0000,709.0000,0.0000,659.0000,3941.0000,3975.2046,0.0000,0.0000,150.0000,150.0000,.0000,150.0000,48.0000,0.0000,48.0000,0.0000,1884.0000,1884.0000,0.0000,1242.0000,156.0000,156.0000,0.0000,138.0000,614.0000,617.3699,0.0000,614.0000,40.0000,0.0000,40.0000,0.0000,2448.0000,2515.4250,0.0000,2448.0000,2035.9999,2035.9999,0.0000,397.0000,602.0000,602.0000,0.0000,291.0000,111.0000,111.0000,0.0000,67.0000,216.0000,216.0000,0.0000,0.0000,990.0000,990.0000,0.0000,990.0000,1168.0000,1168.0000,0.0000,660.0000,959.0000,958.9999,.0001,326.0000,357.0000,357.0000,0.0000,357.0000,869.0000,869.0000,0.0000,0.0000,2197.0000,2197.0000,.0001,1732.0000
1971-10,3750.0000,3957.6820,55.0000,1749.0000,,,,178.0000,178.0000,0.0000,0.0000,952.0000,1089.0798,0.0000,0.0000,28.0000,33.4240,0.0000,28.0000,22.0000,0.0000,22.0000,0.0000,453.0000,453.0000,0.0000,0.0000,61.0000,61.0000,0.0000,0.0000,51.0000,57.7589,0.0000,51.0000,33.0000,0.0000,33.0000,0.0000,335.0000,384.6280,0.0000,335.0000,208.0000,214.6417,0.0000,208.0000,334.0000,334.0000,0.0000,165.0000,73.0000,73.0000,0.0000,11.0000,33.0000,33.0000,0.0000,0.0000,213.0000,240.2010,0.0000,213.0000,54.0000,54.0000,0.0000,54.0000,60.0000,60.0000,0.0000,60.0000,86.0000,91.2171,0.0000,86.0000,82.0000,106.7314,0.0000,82.0000,494.0000,494.0000,0.0000,456.0000
1971-11,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1971-12,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1972-01,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1972-02,0.0000,.0000,0.0000,0.0000,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,.0000,0.0000,0.0000
1972-03,1058.0000,1184.8358,16.0000,719.0000,,,,25.0000,29.7916,0.0000,25.0000,323.0000,369.5985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,3.0000,0.0000,76.0000,86.7471,0.0000,76.0000,58.0000,60.1677,0.0000,58.0000,7.0000,8.1238,0.0000,7.0000,13.0000,0.0000,13.0000,0.0000,80.0000,91.6872,0.0000,80.0000,0.0000,60.0000,0.0000,0.0000,144.0000,144.0000,0.0000,144.0000,38.0000,38.0000,0.0000,38.0000,0.0000,0.0000,0.0000,0.0000,56.0000,56.0000,0.0000,56.0000,39.0000,39.0000,0.0000,39.0000,28.0000,28.0000,.0000,28.0000,49.0000,52.0421,0.0000,49.0000,9.0000,11.6778,0.0000,9.0000,110.0000,110.0000,0.0000,110.0000
1972-04,15680.0003,15562.9997,123.0000,10130.0003,,,,433.0000,433.0000,.0000,433.0000,5353.0000,5353.0000,0.0000,0.0000,83.0000,83.0000,0.0000,83.0000,70.0000,0.0000,70.0000,0.0000,1258.0000,1258.0000,0.0000,1258.0000,197.0000,197.0000,0.0000,183.0000,177.0000,177.0000,0.0000,177.0000,47.0000,0.0000,47.0000,0.0000,1512.0000,1512.0050,0.0000,1512.0000,1051.0001,1051.0029,0.0000,1051.0001,555.0001,560.9917,0.0000,548.0001,117.0000,117.0000,0.0000,98.0000,16.0000,10.0000,6.0000,0.0000,582.0001,582.0001,0.0000,582.0001,503.0001,503.0001,0.0000,503.0001,1244.0000,1244.0000,0.0000,1244.0000,147.0000,147.0000,0.0000,123.0000,470.0000,470.0000,0.0000,470.0000,1865.0000,1865.0000,0.0000,1865.0000
1972-05,32781.0010,32769.2131,183.0005,26242.0013,,,,1441.0000,1441.0000,0.0000,1441.0000,6111.0000,6110.9995,.0005,0.0000,430.0000,430.0000,0.0000,430.0000,102.0000,0.0000,102.0000,0.0000,4346.0005,4346.0005,0.0000,4346.0005,463.0000,463.0000,.0000,354.0000,806.0000,806.0000,0.0000,806.0000,53.0000,0.0000,53.0000,0.0000,3754.0000,3754.0195,0.0000,3754.0002,738.0000,846.6666,0.0000,738.0000,1323.0000,1323.0000,0.0000,1323.0000,213.0000,213.0000,0.0000,185.0000,85.0000,57.0000,28.0000,0.0000,2217.0000,2217.0000,0.0000,2217.0000,1333.0000,1333.0000,0.0000,1333.0000,2734.0000,2734.0000,0.0000,2734.0000,265.0000,265.0000,.0000,214.0000,1618.0000,1680.5265,0.0000,1618.0001,4749.0005,4749.0005,0.0000,4749.0005
