"Date","31_AGG_IrrigDemand","31_AGG_IrrigSupply","31_AGG_IrrigShortage","31_AGG_IrrigSupDirectFlow","31_AGG_MunDemand","31_AGG_MunSupply","31_AGG_MunShortage","31_ADS005_IrrigDemand","31_ADS006_IrrigDemand","31_ADS005_IrrigSupply","31_ADS006_IrrigSupply","31_ADS005_IrrigShortage","31_ADS006_IrrigShortage","31_ADS005_IrrigSupDirectFlow","31_ADS006_IrrigSupDirectFlow"
"1970-10",987,987,0,987,NA,NA,NA,393,594,393,594,0,0,393,594
"1970-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1970-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1971-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1971-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1971-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1971-04",452,452,0,452,NA,NA,NA,263,189,263,189,0,0,263,189
"1971-05",3253.9999,3253.9999,0,3253.9999,NA,NA,NA,1504,1749.9999,1504,1749.9999,0,0,1504,1749.9999
"1971-06",4077,4077,0,4077,NA,NA,NA,1741,2336,1741,2336,0,0,1741,2336
"1971-07",3556,3555.9509,0.0491,3555.9509,NA,NA,NA,1434,2122,1433.9509,2122,0.0491,0,1433.9509,2122
"1971-08",2804,2804,0,2804,NA,NA,NA,1150,1654,1150,1654,0,0,1150,1654
"1971-09",1937,1937,0,1937,NA,NA,NA,832,1105,832,1105,0,0,832,1105
"1971-10",1094.0001,1094.0001,0,1094.0001,NA,NA,NA,510.0001,584.0001,510.0001,584.0001,0,0,510.0001,584.0001
"1971-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1971-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1972-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1972-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1972-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1972-04",444,444,0,444,NA,NA,NA,215,229,215,229,0,0,215,229
"1972-05",4041.9999,4041.9999,0,4041.9999,NA,NA,NA,1754.9999,2287,1754.9999,2287,0,0,1754.9999,2287
"1972-06",3645,3645,0,3645,NA,NA,NA,1622,2023,1622,2023,0,0,1622,2023
"1972-07",3367.9999,3367.9999,0,3367.9999,NA,NA,NA,1470.9999,1897,1470.9999,1897,0,0,1470.9999,1897
"1972-08",2894.0001,2614.1785,279.8215,2614.1785,NA,NA,NA,1172,1722.0001,892.1784,1722.0001,279.8215,0,892.1784,1722.0001
"1972-09",2293,2035.4176,257.5824,2035.4176,NA,NA,NA,1121,1172,863.4176,1172,257.5824,0,863.4176,1172
"1972-10",704,704,0,704,NA,NA,NA,337,367,337,367,0,0,337,367
"1972-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1972-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1973-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1973-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1973-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1973-04",141,141.0959,0,141,NA,NA,NA,106,35,106,35.0959,0,0,106,35
"1973-05",1496.0001,1496.0001,0,1496.0001,NA,NA,NA,822.0001,674,822.0001,674,0,0,822.0001,674
"1973-06",3642,3642,0,3642,NA,NA,NA,1456,2186,1456,2186,0,0,1456,2186
"1973-07",3918.0001,3918.0001,0,3918.0001,NA,NA,NA,1810.0001,2108,1810.0001,2108,0,0,1810.0001,2108
"1973-08",3298,3297.9753,0.0246,3297.9753,NA,NA,NA,1464,1834,1463.9753,1834,0.0246,0,1463.9753,1834
"1973-09",2232,2231.9802,0.0197,2231.9802,NA,NA,NA,1171,1061,1170.9802,1061,0.0197,0,1170.9802,1061
"1973-10",1121,1121,0,1121,NA,NA,NA,633,488,633,488,0,0,633,488
"1973-11",29,29,0,29,NA,NA,NA,29,0,29,0,0,0,29,0
"1973-12",2,2,0,2,NA,NA,NA,2,0,2,0,0,0,2,0
"1974-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
"1974-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0
