"Date","56_AGG_IrrigDemand","56_AGG_IrrigSupply","56_AGG_IrrigShortage","56_AGG_IrrigSupDirectFlow","56_AGG_MunDemand","56_AGG_MunSupply","56_AGG_MunShortage","56_ADY027_IrrigDemand","56_ADY027_IrrigSupply","56_ADY027_IrrigShortage","56_ADY027_IrrigSupDirectFlow"
"2011-02",47,47,0,47,NA,NA,NA,47,47,0,47
"2011-03",220,220,0,220,NA,NA,NA,220,220,0,220
"2011-04",667,667,0,667,NA,NA,NA,667,667,0,667
"2011-05",2354,2354.0002,0,2354.0002,NA,NA,NA,2354,2354.0002,0,2354.0002
"2011-06",1626,1626,0,1626,NA,NA,NA,1626,1626,0,1626
"2011-07",768,768,0,768,NA,NA,NA,768,768,0,768
"2011-08",761,761.048,0,761,NA,NA,NA,761,761.048,0,761
"2011-09",679,679,0,679,NA,NA,NA,679,679,0,679
"2011-10",421,421,0,421,NA,NA,NA,421,421,0,421
"2011-11",23,23,0,23,NA,NA,NA,23,23,0,23
"2011-12",15,15,0,15,NA,NA,NA,15,15,0,15
"2012-01",22,22,0,22,NA,NA,NA,22,22,0,22
"2012-02",16,16,0,16,NA,NA,NA,16,16,0,16
"2012-03",60,60,0,60,NA,NA,NA,60,60,0,60
"2012-04",2833,2832.9998,2e-04,2832.9998,NA,NA,NA,2833,2832.9998,2e-04,2832.9998
"2012-05",2567,2566.9998,2e-04,2566.9998,NA,NA,NA,2567,2566.9998,2e-04,2566.9998
"2012-06",1767.9999,1768,0,1768,NA,NA,NA,1767.9999,1768,0,1768
"2012-07",886.0001,886.0001,0,886.0001,NA,NA,NA,886.0001,886.0001,0,886.0001
"2012-08",798,798.064,0,798,NA,NA,NA,798,798.064,0,798
"2012-09",664,664,0,664,NA,NA,NA,664,664,0,664
"2012-10",379,379,0,379,NA,NA,NA,379,379,0,379
"2012-11",109,109,0,109,NA,NA,NA,109,109,0,109
"2012-12",157,157,0,157,NA,NA,NA,157,157,0,157
