"Date","72_AGG_IrrigDemand","72_AGG_IrrigSupply","72_AGG_IrrigShortage","72_AGG_IrrigSupDirectFlow","72_AGG_MunDemand","72_AGG_MunSupply","72_AGG_MunShortage","7200512_D_IrrigDemand","7200512_D_IrrigSupply","7200512_D_IrrigSupply_1","7200512_D_IrrigShortage","7200512_D_IrrigShortage_1","7200512_D_IrrigSupDirectFlow","7200512_D_IrrigSupDirectFlow_1","72_ADC051_IrrigDemand","72_ADC051_IrrigDemand_1","72_ADC052_IrrigDemand","72_ADC052_IrrigDemand_1","72_ADC053_IrrigDemand","72_ADC053_IrrigDemand_1","72_ADC054_IrrigDemand","72_ADC054_IrrigDemand_1","72_ADC055_IrrigDemand","72_ADC055_IrrigDemand_1","72_ADC056_IrrigDemand","72_ADC056_IrrigDemand_1","72_ADC057_IrrigDemand","72_ADC057_IrrigDemand_1","72_ADC058_IrrigDemand","72_ADC058_IrrigDemand_1","72_ADC059_IrrigDemand","72_ADC060_IrrigDemand","72_ADC061_IrrigDemand","72_ADC061_IrrigDemand_1","72_ADC062_IrrigDemand","72_ADC063_IrrigDemand","72_ADC063_IrrigDemand_1","72_ADC064_IrrigDemand","72_ADC064_IrrigDemand_1","72_ADC065_IrrigDemand","72_ADC065_IrrigDemand_1","72_ADC051_IrrigSupply","72_ADC051_IrrigSupply_1","72_ADC052_IrrigSupply","72_ADC052_IrrigSupply_1","72_ADC053_IrrigSupply","72_ADC053_IrrigSupply_1","72_ADC054_IrrigSupply","72_ADC054_IrrigSupply_1","72_ADC055_IrrigSupply","72_ADC055_IrrigSupply_1","72_ADC056_IrrigSupply","72_ADC056_IrrigSupply_1","72_ADC057_IrrigSupply","72_ADC057_IrrigSupply_1","72_ADC058_IrrigSupply","72_ADC058_IrrigSupply_1","72_ADC059_IrrigSupply","72_ADC059_IrrigSupply_1","72_ADC060_IrrigSupply","72_ADC060_IrrigSupply_1","72_ADC061_IrrigSupply","72_ADC061_IrrigSupply_1","72_ADC062_IrrigSupply","72_ADC062_IrrigSupply_1","72_ADC063_IrrigSupply","72_ADC063_IrrigSupply_1","72_ADC064_IrrigSupply","72_ADC064_IrrigSupply_1","72_ADC065_IrrigSupply","72_ADC065_IrrigSupply_1","72_ADC051_IrrigShortage","72_ADC051_IrrigShortage_1","72_ADC052_IrrigShortage","72_ADC052_IrrigShortage_1","72_ADC053_IrrigShortage","72_ADC053_IrrigShortage_1","72_ADC054_IrrigShortage","72_ADC054_IrrigShortage_1","72_ADC055_IrrigShortage","72_ADC055_IrrigShortage_1","72_ADC056_IrrigShortage","72_ADC056_IrrigShortage_1","72_ADC057_IrrigShortage","72_ADC057_IrrigShortage_1","72_ADC058_IrrigShortage","72_ADC058_IrrigShortage_1","72_ADC059_IrrigShortage","72_ADC059_IrrigShortage_1","72_ADC060_IrrigShortage","72_ADC060_IrrigShortage_1","72_ADC061_IrrigShortage","72_ADC061_IrrigShortage_1","72_ADC062_IrrigShortage","72_ADC062_IrrigShortage_1","72_ADC063_IrrigShortage","72_ADC063_IrrigShortage_1","72_ADC064_IrrigShortage","72_ADC064_IrrigShortage_1","72_ADC065_IrrigShortage","72_ADC065_IrrigShortage_1","72_ADC051_IrrigSupDirectFlow","72_ADC051_IrrigSupDirectFlow_1","72_ADC052_IrrigSupDirectFlow","72_ADC052_IrrigSupDirectFlow_1","72_ADC053_IrrigSupDirectFlow","72_ADC053_IrrigSupDirectFlow_1","72_ADC054_IrrigSupDirectFlow","72_ADC054_IrrigSupDirectFlow_1","72_ADC055_IrrigSupDirectFlow","72_ADC055_IrrigSupDirectFlow_1","72_ADC056_IrrigSupDirectFlow","72_ADC056_IrrigSupDirectFlow_1","72_ADC057_IrrigSupDirectFlow","72_ADC057_IrrigSupDirectFlow_1","72_ADC058_IrrigSupDirectFlow","72_ADC058_IrrigSupDirectFlow_1","72_ADC059_IrrigSupDirectFlow","72_ADC059_IrrigSupDirectFlow_1","72_ADC060_IrrigSupDirectFlow","72_ADC060_IrrigSupDirectFlow_1","72_ADC061_IrrigSupDirectFlow","72_ADC061_IrrigSupDirectFlow_1","72_ADC062_IrrigSupDirectFlow","72_ADC062_IrrigSupDirectFlow_1","72_ADC063_IrrigSupDirectFlow","72_ADC063_IrrigSupDirectFlow_1","72_ADC064_IrrigSupDirectFlow","72_ADC064_IrrigSupDirectFlow_1","72_ADC065_IrrigSupDirectFlow","72_ADC065_IrrigSupDirectFlow_1","7200646_I_IrrigDemand","7200646_I_IrrigDemand_1","7200646_I_IrrigSupply","7200646_I_IrrigSupply_1","7200646_I_IrrigShortage","7200646_I_IrrigShortage_1","7200646_I_IrrigSupDirectFlow","7200646_I_IrrigSupDirectFlow_1","7200730_D_IrrigDemand","7200730_D_IrrigDemand_1","7200730_D_IrrigSupply","7200730_D_IrrigSupply_1","7200730_D_IrrigShortage","7200730_D_IrrigShortage_1","7200730_D_IrrigSupDirectFlow","7200730_D_IrrigSupDirectFlow_1","7200852_D_IrrigDemand","7200852_D_IrrigDemand_1","7200852_D_IrrigSupply","7200852_D_IrrigSupply_1","7200852_D_IrrigShortage","7200852_D_IrrigShortage_1","7200852_D_IrrigSupDirectFlow","7200852_D_IrrigSupDirectFlow_1","7200764_I_IrrigDemand","7200764_I_IrrigDemand_1","7200766_I_IrrigDemand","7200766_I_IrrigDemand_1","7200764_I_IrrigSupply","7200764_I_IrrigSupply_1","7200766_I_IrrigSupply","7200766_I_IrrigSupply_1","7200764_I_IrrigShortage","7200764_I_IrrigShortage_1","7200766_I_IrrigShortage","7200766_I_IrrigShortage_1","7200764_I_IrrigSupDirectFlow","7200764_I_IrrigSupDirectFlow_1","7200766_I_IrrigSupDirectFlow","7200766_I_IrrigSupDirectFlow_1","72_AMC001_MunDemand","72_AMC001_MunDemand_1","72_AMC001_MunSupply","72_AMC001_MunSupply_1","72_AMC001_MunShortage","72_AMC001_MunShortage_1","7200644_MunDemand","7200644_MunDemand_1","7200644_MunSupply","7200644_MunSupply_1","7200644_MunShortage","7200644_MunShortage_1","72_GJMun_MunDemand","72_GJMun_MunDemand_1","72_GJMun_MunSupply","72_GJMun_MunSupply_1","72_GJMun_MunShortage","72_GJMun_MunShortage_1","72_GJMunExp_MunDemand","72_GJMunExp_MunSupply","72_GJMunExp_MunSupply_1","72_GJMunExp_MunShortage","72_GJMunExp_MunShortage_1","7201523_MunDemand","7201523_MunSupply","7201523_MunSupply_1","7201523_MunShortage","7201523_MunShortage_1","7200816_MunDemand","7200816_MunDemand_1","7200816_MunSupply","7200816_MunSupply_1","7200816_MunShortage","7200816_MunShortage_1","72_UWCD_MunDemand","72_UWCD_MunDemand_1","72_UWCD_MunSupply","72_UWCD_MunSupply_1","72_UWCD_MunShortage","72_UWCD_MunShortage_1"
"1977-07",254613.6006,228254.7195,31529.5618,18330.9683,13584,13599.5759,1672.4241,346,358,358,0,0,358,358,388,388,893,893,1291,1291,700.0001,700.0001,1000.0001,1000.0001,565,565,795,795,600,600,1117,1382,348,348,776,750,750,24.8,275,1342.9999,1342.9999,302.7359,302.7359,672.2368,672.2368,790.0459,790.0459,0,0,835.4821,835.4821,0,0,1.265,1.265,600.0001,600.0001,21.3698,21.3698,0,0,0,0,370.6682,370.6682,66.0837,66.0837,44.4902,44.4902,0,1342.9999,85.2641,85.2641,220.7632,220.7632,500.9541,500.9541,700.0001,700.0001,164.5179,164.5179,565,565,793.735,793.735,0,0,1095.6301,1095.6301,1382,1382,348,348,405.3318,405.3318,683.9163,683.9163,245.5099,245.5099,0,0,210.407,210.407,504.7017,504.7017,510.9694,510.9694,0,0,537.6031,537.6031,0,0,1.265,1.265,600.0001,600.0001,21.3698,21.3698,0,0,0,0,370.6682,370.6682,66.0837,66.0837,33.6742,33.6742,1342.9999,1342.9999,52265,52265,"52265.0703",52265.0703,0,0,0,0,500.0001,500.0001,38.232,38.232,461.768,461.768,0,0,230,230,0,0,230,230,0,0,25,25,0,0,26.5,26.5,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,439,439,439,439,0,0,844,844,844,844,0,0,844,425.894,425.894,418.106,418.106,0,0,0,0,0,131,131,131,131,0,0,1560,1560,1560,1560,0,0
"1977-08",261783.9996,226136.7824,42927.6964,15969.8305,11652.6667,13140.4134,723.5868,328,328,328,0,0,328,328,278,312,798,798,1130,1130,372,372,815,815,462,462,733,733,490,490,927,1376,284,284,673,611.9999,611.9999,300,0,1132,1132,276.9734,276.9734,548.4115,548.4115,530.2158,530.2158,0,0,646.8963,646.8963,0,0,0.92,0.92,430.6294,430.6294,14.3707,14.3707,0,0,0,0,322.4467,322.4467,0,0,14.9306,14.9306,1132,1132,35.0266,35.0266,249.5886,249.5886,599.7842,599.7842,372,372,168.1037,168.1037,462,462,732.08,732.08,59.3706,59.3706,912.6293,912.6293,1376,1376,284,284,350.5534,350.5534,611.9999,611.9999,285.0693,285.0693,0,0,276.9734,276.9734,417.6154,417.6154,510.9694,510.9694,0,0,527.5714,527.5714,0,0,0.92,0.92,430.6294,430.6294,14.3707,14.3707,0,0,0,0,322.4467,322.4467,0,0,8.9614,8.9614,1132,1132,55854,55854,"52265.2813",52265.2813,3588.7185,3588.7185,0,0,375,375,0,0,375,375,0,0,188,188,0,0,188,188,0,0,22,22,82,82,23.12,23.12,0,0,0,0,82,82,22,22,0,0,0,0,0,0,0,0,374,374,374,374,0,0,775,775,775,775,0,0,444.3333,594.1033,594.1033,180.8967,180.8967,0,0,0,0,0,112,112,112,112,0,0,1430,1430,1430,1430,0,0
"1977-09",202693.9844,188871.3899,19193.1422,13591.773,9364.9032,10453.7273,466.2727,377,377,377,0,0,377,377,187,187,555,555,661,661,222,222,488,488,313,313,570,570,383,383,762.0001,976,230,230,553.9999,407,407,233,233,997,997,187,187,221.1892,221.1892,494.4865,494.4865,0,0,495.1257,495.1257,0,0,0.69,0.69,383,383,10.1709,10.1709,0,0,0,0,168.2676,168.2676,52.9245,52.9245,22.9857,22.9857,997,997,0,0,333.8107,333.8107,166.5135,166.5135,222,222,0,0,313,313,569.3101,569.3101,0,0,751.8292,751.8292,976,976,230,230,385.7323,385.7323,354.0755,354.0755,210.0143,210.0143,0,0,187,187,203.418,203.418,494.4865,494.4865,0,0,488,488,0,0,0.69,0.69,383,383,10.1709,10.1709,0,0,0,0,168.2676,168.2676,52.9245,52.9245,22.9857,22.9857,997,997,43793.9961,43793.9961,"43794.0273",43794.0273,0,0,0,0,90,90,0,0,90,90,0,0,113,113,0,0,113,113,0,0,13,13,83,83,13.98,13.98,0,0,0,0,83,83,13,13,0,0,0,0,0,0,0,0,286,286,286,286,0,0,592,592,592,592,0,0,406.4516,475.4318,475.4318,116.5682,116.5682,0,0,0,0,0,90,90,90,90,0,0,1170,1170,1170,1170,0,0
"1977-10",167399.4667,162846.8525,6773.1789,9886.8213,8920.0005,9614.8973,417.1032,229,229,229,0,0,229,229,70,70,280,280,313,313,83,83,238,238,148,148,278,278,206,206,350,642.7333,74,74,174,176,176,125,125,854,854,70,70,280,280,313,313,0,0,238,238,0,0,0.46,0.46,206,206,7.4249,7.4249,0,0,0,0,158.9995,158.9995,75.0522,75.0522,31.7687,31.7687,854,854,0,0,0,0,0,0,83,83,0,0,148,148,277.54,277.54,0,0,342.5751,342.5751,500.0001,500.0001,74,74,15.0005,15.0005,100.9478,100.9478,93.2313,93.2313,0,0,70,70,280,280,313,313,0,0,238,238,0,0,0.46,0.46,206,206,7.4249,7.4249,0,0,0,0,158.9995,158.9995,75.0522,75.0522,31.7687,31.7687,854,854,38240,38240,"38240.0078",38240.0078,0,0,0,0,17,17,0,0,17,17,0,0,42,42,0,0,42,42,0,0,8,8,0,0,8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,293,293,293,293,0,0,556,556,522,522,34,34,556,485.7242,485.7242,70.2758,70.2758,0,0,0,0,0,63,63,63,63,0,0,1040.0001,1040.0001,1040.0001,1040.0001,0,0
"1977-11",27292,26955.7431,664.2569,1507.7431,6536,6889.2362,506.7639,0,0,0,0,0,0,0,0,0,87,87,15,15,0,0,46,46,0,0,32,32,61,61,50,90,0,0,24,12,12,26,26,100,100,0,0,87,87,15,15,0,0,46,46,0,0,0.345,0.345,61,61,5.5908,5.5908,0,0,0,0,24,24,12,12,26,26,100,100,0,0,0,0,0,0,0,0,0,0,0,0,31.655,31.655,0,0,44.4092,44.4092,90,90,0,0,0,0,0,0,0,0,0,0,0,0,87,87,15,15,0,0,46,46,0,0,0.345,0.345,61,61,5.5908,5.5908,0,0,0,0,24,24,12,12,26,26,100,100,6362,6362,"6362.0000",6362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,160,160,0,0,430,430,420,420,10,10,430,313.3091,313.3091,116.6909,116.6909,0,0,0,0,0,49,49,49,49,0,0,780,780,780,780,0,0
"1977-12",1510,1273.15,618.85,1273.15,6621.9999,6951.9999,552,7,7,7,0,0,7,7,0,0,32,32,35,35,0,0,53,53,0,0,47,47,79,79,0,108,0,0,29,12,12,24,24,47,0,0,0,32,32,35,35,0,0,53,53,0,0,0.2875,0.2875,79,79,0,0,0,0,0,0,29,29,12,12,24,24,47,47,0,0,0,0,0,0,0,0,0,0,0,0,46.7125,46.7125,0,0,0,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,32,32,35,35,0,0,53,53,0,0,0.2875,0.2875,79,79,0,0,0,0,0,0,29,29,12,12,24,24,47,47,0,0,"0.0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,165,0,0,441,441,387,387,54,54,441,357,357,84,84,0,0,0,0,0,49,49,49,49,0,0,780,780,780,780,0,0
"1978-01",2107.9999,1564,608,1564,6532,6820.1235,559.8765,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,67,227,0,0,36,36,86,86,0,116,0,0,37,26,26,24,24,77,38,0,0,0,0,74,74,0,0,67,67,0,0,0,0,86,86,0,0,0,0,0,0,37,37,26,26,24,24,77,77,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,67,67,0,0,0,0,86,86,0,0,0,0,0,0,37,37,26,26,24,24,77,77,0,0,"0.0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,170,170,0,0,424,424,399,399,25,25,424,309.0309,309.0309,114.9691,114.9691,0,0,0,0,0,47,47,47,47,0,0,780,780,780,780,0,0
"1978-02",2436.5334,1480,568,1480,6288,6622.8339,453.1658,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,63,63,0,0,39,39,78,78,0,103,0,0,456.4,28,28,26,26,55,57.8667,0,0,0,0,78,78,0,0,63,63,0,0,0,0,78,78,0,0,0,0,0,0,42,42,28,28,26,26,55,55,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,63,63,0,0,0,0,78,78,0,0,0,0,0,0,42,42,28,28,26,26,55,55,0,0,"0.0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,150,150,0,0,394,394,362,362,32,32,394,312.7086,312.7086,81.2914,81.2914,0,0,0,0,0,51,51,51,51,0,0,780,780,779.9999,779.9999,0,0
"1978-03",8082,8332.0023,276.0002,4087.9999,7087.9998,7927.1019,0.8979,63,63,63,0,0,63,63,0,0,0,0,85,85,0,0,88,88,0,0,40,40,86,86,0,114,0,0,0,35,35,10,10,525,525,0,0,0,0,85,85,0,0,88,88,0,0,40,40,86,86,0,0,45,45,0,0,43,43,35,35,10,10,525,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,88,88,0,0,40,40,86,86,0,0,45,45,0,0,43,43,35,35,10,10,525,525,1061,1061,"1061.0006",1061.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,171,171,171,171,0,0,420,420,420,420,0,0,420,419.7755,419.7755,0.2245,0.2245,0,0,0,0,0,61,61,61,61,0,0,910,910,910,910,0,0
"1978-04",176824.0001,178341.5839,0,12048.0001,8048,8948,0,193,193,193,0,0,193,193,139,139,72,72,133,133,181,181,136,0,57,57,82,82,96,96,181,161,85,85,67,75,75,44,44,1287,1287,139,139,74.2186,74.2186,133,133,181,181,136,136,57,57,82.0054,82.0054,96,96,181,181,161,161,85,85,70.82,70.82,79.3363,79.3363,44,44,1287,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,72,72,133,133,181,181,136,136,57,57,82,82,96,96,181,181,161,161,85,85,67,67,75,75,44,44,1287,1287,41540,41540,"41540.0156",41540.0156,0,0,0,0,13,13,13,13,0,0,13,13,23,23,23,23,0,0,0,0,10,10,0,0,10,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,237,237,237,237,0,0,450,450,450,450,0,0,450,450,450,0,0,0,0,0,0,0,60,60,60,60,0,0,1040,1040,1040,1040,0,0
"1978-05",237115.9846,241962.8766,2709.3527,42418.7238,10319.9999,11459.9999,1e-04,383,383,383,0,0,383,383,350,350,799.0001,799.0001,1007,1007,957,957,960,960,664,664,684,684,550,550,1348,1377.9999,472,472,669,688,688,280,280,1733,1733,350,350,799.0001,799.0001,1007,1007,957,957,960,960,664.0001,664.0001,684.0259,684.0259,550,550,929.0912,929.0912,1377.9999,1377.9999,472,472,420.3354,420.3354,688,688,270.2352,270.2352,1733,1733,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,418.9087,418.9087,0,0,0,0,248.6646,248.6646,0,0,9.7648,9.7648,0,0,350,350,799.0001,799.0001,1007,1007,957,957,960,960,664.0001,664.0001,684,684,550,550,929.0912,929.0912,477,477,97.0745,97.0745,420.3354,420.3354,162.9445,162.9445,270.2352,270.2352,1733,1733,47726.9961,47726.9961,"47727.0313",47727.0313,0,0,0,0,123,123,123,123,0,0,123,123,358,358,358,358,0,0,0,0,38,38,0,0,38,38,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,330,330,330,330,0,0,570,570,570,570,0,0,570,570,570,0,0,0,0,0,0,0,95,95,95,95,0,0,1300,1300,1300,1300,0,0
"1978-06",172864.0007,281297.457,3654.7421,62559.851,12217.9995,13379.9998,363.9998,376,376,376,0,0,376,376,859,859,1169,1169,1837,1837,1284,1284,1817.0001,1817.0001,947,947,951,951,762.0001,762.0001,1480,1787,520,520,908,1076,1076,371,371,1566,1566,858.9999,858.9999,1169.0001,1169.0001,1837,1837,1284,1284,1817.0001,1817.0001,947.0001,947.0001,951.0474,951.0474,762.0001,762.0001,1480.0001,1480.0001,1787,1787,520,520,908,908,1076,1076,371,371,1566,1566,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.9999,858.9999,1169.0001,1169.0001,1837,1837,1284,1284,1817.0001,1817.0001,947.0001,947.0001,951,951,762.0001,762.0001,438.7509,438.7509,1150.0792,1150.0792,236.2348,236.2348,483.2093,483.2093,157.6883,157.6883,371,371,1566,1566,0,51493,"50579.3164",50579.3164,913.6854,913.6854,0,0,1199,1199,1199,1199,0,0,1199,1199,800,800,800,800,0,0,0,0,36,36,0,0,36,36,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,376,376,376,376,0,0,763,763,672.0001,672.0001,91,91,763,763,763,0,0,0,0,0,0,0,104,104,104,104,0,0,1429.9999,1429.9999,1429.9999,1429.9999,0,0
"1978-07",255750.0006,270235.6606,0,42733.4564,13584,13832.6661,640.0004,371,371,371,0,0,371,371,502,502,987.0001,987.0001,1462,1462,779,779,1283,1283,627,627,887,887,663,663,1237,135,386,386,861.0001,492,832.0001,320,320,1271,0,502,502,987.0109,987.0109,1462,1462,779,779,1283,1283,664.4199,664.4199,887.0588,887.0588,663,663,1237,1237,1546.2599,1546.2599,386,386,861.0001,861.0001,879.9113,879.9113,320,320,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,502,987.0001,987.0001,1462,1462,779,779,1283,1283,38.3778,38.3778,504.7631,504.7631,663,663,317.7708,317.7708,369,369,244.1094,244.1094,518.9366,518.9366,130.4063,130.4063,320,320,1271,1271,52265,52265,"52265.0742",52265.0742,0,0,0,0,894,894,894.0001,894.0001,0,0,894.0001,894.0001,255,255,270.3,270.3,0,0,0,0,28,28,0,0,29.88,29.88,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,439,439,439,439,0,0,844,844,684,684,160,160,844,444.3333,844,0,0,0,0,0,0,0,131,131,131,131,0,0,1560,1560,1559.9999,1559.9999,1e-04,1e-04
"1978-08",151489.9995,260878.0023,1121.5358,26663.1925,12314,13864,1e-04,362,362,362,0,0,362,362,365,365,935,874,1330,1330,437,437,957,957,542,542,862,862,572.9999,572.9999,1088,1618,332,332,791.9999,717.9999,717.9999,350,350,1051,1051,386.9,386.9,935,935,1330,1330,191.268,191.268,1007.2336,1007.2336,574.32,574.32,862.0508,862.0508,572.9999,572.9999,1088,1088,1618,1618,332,332,791.9999,791.9999,759.7055,759.7055,315.3481,315.3481,1051,1051,0,0,0,0,0,0,245.732,245.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6519,34.6519,0,0,365,365,935,935,883.5897,883.5897,0,0,956.9999,956.9999,0,0,247.3925,247.3925,572.9999,572.9999,271.3879,271.3879,0,0,0,0,446.9474,446.9474,208.4254,208.4254,315.3481,315.3481,1051,1051,1253,52265,"52265.0547",52265.0547,0,0,0,0,433,433,433,433,0,0,24.7073,24.7073,222,222,235.12,235.12,0,0,0,0,25,25,82,82,26.5,26.5,82,82,0,0,0,0,25,25,0,0,0,0,0,0,0,0,374,374,374,374,0,0,775,775,775,775,0,0,775,775,775,0,0,0,0,0,0,0,112,112,112,112,0,0,1430,1430,1430,1430,0,0
"1978-09",202330.0003,194924.5392,13456.3878,15259.3469,10078,10920,0,377,377,377,0,0,377,377,213,213,610,610,754,754,255,255,553,553,357,357,653,653,444,444,849.0001,1105,254,254,634,463,463,267,267,942,942,128,128,247,247,483.1827,483.1827,216.5535,216.5535,582.3043,582.3043,167.572,167.572,228.4384,228.4384,444,444,395.1112,395.1112,420,420,94,94,356.4458,356.4458,349.8399,349.8399,142.7499,142.7499,942,942,85,85,363,363,270.8173,270.8173,38.4465,38.4465,0,0,189.428,189.428,424.5616,424.5616,0,0,453.8889,453.8889,685,685,160,160,277.5542,277.5542,113.16,113.16,124.2501,124.2501,0,0,0,0,0,0,378.658,378.658,216,216,553,553,0,0,55.7877,55.7877,444,444,178.1901,178.1901,0,0,0,0,292.2734,292.2734,220.1776,220.1776,142.7499,142.7499,942,942,43006,43006,"43006.0273",43006.0273,0,0,0,0,103,103,32.319,32.319,70.681,70.681,0,0,128,128,68.492,68.492,59.508,59.508,0,0,15,15,83,83,15.9,15.9,34.1987,34.1987,0,0,48.8013,48.8013,15,15,0,0,0,0,0,0,0,0,286,286,286,286,0,0,592,592,592,592,0,0,763,592,592,0,0,0,0,0,0,0,90,90,90,90,0,0,1170,1170,1170,1170,0,0
"1978-10",157012.9336,153746.3311,10053.6116,14555.9061,8920.0005,10028.0007,4,314,314,314,0,0,314,314,112,112,460,14.4667,500.0001,500.0001,133,133,378,378,236,236,448,448,352,352,543,1331,0,0,279,280,280,225,0,684.9999,684.9999,118.52,118.52,460,460,500.0001,500.0001,136.4617,136.4617,378,378,0,0,100.4609,100.4609,352,352,188.3733,188.3733,107.544,107.544,25.592,25.592,279,279,214.4035,214.4035,117.443,117.443,684.9999,684.9999,0,0,0,0,0,0,0,0,0,0,236,236,347.5391,347.5391,0,0,354.6266,354.6266,1223.4561,1223.4561,92.408,92.408,0,0,65.5965,65.5965,107.557,107.557,0,0,112,112,460,460,500.0001,500.0001,133,133,378,378,0,0,27.7865,27.7865,352,352,79.9071,79.9071,0,0,0,0,279,279,187.8398,187.8398,117.443,117.443,684.9999,684.9999,34438,34438,"34438.0039",34438.0039,0,0,0,0,27,27,8.7803,8.7803,18.2197,18.2197,0,0,68,68,0,0,68,68,0,0,13,13,0,0,13,13,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,293,293,293,293,0,0,556,556,555.0001,555.0001,1,1,556,556,556,0,0,0,0,0,0,0,63,63,63,63,0,0,1040.0001,1040.0001,1040.0001,1040.0001,0,0
"1978-11",20693.1244,18376,0,996,6536,6336.0713,284,69,69,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1429,707.4193,0,0,94,18,0,0,402,11,0,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,167,167,4345,4345,"4345.0000",4345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,160,160,160,160,0,0,430,430,359,359,71,71,430,430,42.0356,0,0,0,0,0,0,0,49,49,49,49,0,0,780,780,780,780,0,0
"1978-12",221.8,550,0,168,6541.0799,7140.0001,363.9999,3,2,2,0,0,2,2,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,227,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,36,0,0,"0.0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,165,0,0,441,441,350,350,91,91,441,441,441,0,0,0,0,0,0,0,8.54,49,49,49,0,0,780,780,780,780,0,0
"1979-01",764,764,0,764,6532,6817.5802,562.4199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,164,164,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,164,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,164,164,0,0,"0.0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,170,170,0,0,424,424,344,344,80,80,424,363.3951,363.3951,60.605,60.605,0,0,0,0,0,47,47,47,47,0,0,780,780,780,780,0,0
