"Date","33_AGG_IrrigDemand","33_AGG_IrrigSupply","33_AGG_IrrigShortage","33_AGG_IrrigSupDirectFlow","33_AGG_MunDemand","33_AGG_MunSupply","33_AGG_MunShortage","33_ADS011_IrrigDemand","33_ADS011_IrrigSupply","33_ADS011_IrrigShortage","33_ADS011_IrrigSupDirectFlow"
"1970-10",40,40,0,40,NA,NA,NA,40,40,0,40
"1970-11",0,0,0,0,NA,NA,NA,0,0,0,0
"1970-12",0,0,0,0,NA,NA,NA,0,0,0,0
"1971-01",0,0,0,0,NA,NA,NA,0,0,0,0
"1971-02",1,1,0,1,NA,NA,NA,1,1,0,1
"1971-03",77,77,0,77,NA,NA,NA,77,77,0,77
"1971-04",364,364,0,364,NA,NA,NA,364,364,0,364
"1971-05",467,467,0,467,NA,NA,NA,467,467,0,467
"1971-06",793.9999,794.24,0,793.9999,NA,NA,NA,793.9999,794.24,0,793.9999
"1971-07",863,863,0,863,NA,NA,NA,863,863,0,863
"1971-08",231,231,0,231,NA,NA,NA,231,231,0,231
"1971-09",278,278,0,278,NA,NA,NA,278,278,0,278
"1971-10",51,51,0,51,NA,NA,NA,51,51,0,51
"1971-11",0,0,0,0,NA,NA,NA,0,0,0,0
"1971-12",0,0,0,0,NA,NA,NA,0,0,0,0
"1972-01",0,0,0,0,NA,NA,NA,0,0,0,0
"1972-02",7,7,0,7,NA,NA,NA,7,7,0,7
"1972-03",220,220,0,220,NA,NA,NA,220,220,0,220
"1972-04",282,282,0,282,NA,NA,NA,282,282,0,282
"1972-05",737,737,0,737,NA,NA,NA,737,737,0,737
"1972-06",619,619,0,619,NA,NA,NA,619,619,0,619
"1972-07",700.0001,675.613,24.3871,646.9846,NA,NA,NA,700.0001,675.613,24.3871,646.9846
"1972-08",515,369.9253,145.0747,199.8376,NA,NA,NA,515,369.9253,145.0747,199.8376
"1972-09",267,267,0,267,NA,NA,NA,267,267,0,267
"1972-10",109,109,0,109,NA,NA,NA,109,109,0,109
"1972-11",38,38,0,38,NA,NA,NA,38,38,0,38
"1972-12",3,3,0,3,NA,NA,NA,3,3,0,3
"1973-01",0,0,0,0,NA,NA,NA,0,0,0,0
"1973-02",3,3,0,3,NA,NA,NA,3,3,0,3
"1973-03",16,16,0,16,NA,NA,NA,16,16,0,16
"1973-04",118,118,0,118,NA,NA,NA,118,118,0,118
"1973-05",446,446,0,446,NA,NA,NA,446,446,0,446
"1973-06",530,530,0,530,NA,NA,NA,530,530,0,530
"1973-07",841,841,0,841,NA,NA,NA,841,841,0,841
